Country,slope(log cases),start day,start date,intersecpt(log cases),MSE fit,exp MSE,pred_day 0,pred_day 1,pred_day 2,pred_day 3,pred_day 4,pred_day 5,pred_day 6,pred_day 7,pred_day 8,pred_day 9,pred_day 10,pred_day 11,pred_day 12,pred_day 13,pred_day 14,pred_day 15,pred_day 16,pred_day 17,pred_day 18,pred_day 19,pred_day 20,pred_day 21,pred_day 22,pred_day 23,pred_day 24,pred_day 25,pred_day 26,pred_day 27,pred_day 28,pred_day 29,pred_day 30,pred_day 31,pred_day 32,pred_day 33,pred_day 34,pred_day 35,pred_day 36,pred_day 37,pred_day 38,pred_day 39,pred_day 40,pred_day 41,pred_day 42,pred_day 43,pred_day 44,pred_day 45,pred_day 46,pred_day 47,pred_day 48,pred_day 49,pred_day 50,pred_day 51,pred_day 52,pred_day 53,pred_day 54,pred_day 55,pred_day 56,pred_day 57,pred_day 58,pred_day 59,pred_day 60,pred_day 61,pred_day 62,pred_day 63,pred_day 64
Qatar,0.054678405904867264,49,3/11/20,5.65408448490752,5.568344503761097,261.99999999999994,285.4550246770637,301.49785171316535,318.44229994021094,336.33904127345176,355.24159543497876,375.2064900030094,396.29342945608363,418.5654737176974,442.08922673530014,466.9350356576057,493.17720120584033,520.8941998680461,550.1689185808993,581.0889026008606,613.7466173059006,648.239724710719,684.6713755223642,723.1505176096383,763.7922218087621,806.7180260396045,852.056298761551,899.9426228559219,950.5202010829175,1003.9402843256107,1060.3626239016317,1119.95594929517,1182.89847273795,1249.3784221480978,1319.5946040206532,1393.7569979530297,1472.0873845833314,1554.8200088193732,1642.202280341756,1734.4955134758347,1831.9757086451682,1934.9343777433326,2043.6794158923753,2158.536022194872,2279.8476722330633,2407.977145223324,2543.307608897618,2686.2437653562556,2837.2130613186264,2996.6669663910534,3165.0823231744826,3342.9627732494314,3530.8402633025166,3729.2766358986796,3938.8653096562366,4160.233053849231,4394.04186274402,4640.9909352752875,4901.818765981609,5177.305353453405,5468.274532897694,5775.59643979509,6100.19011201642,6443.026238180706,6805.130060473328,7187.584440605047,7591.533098080773,8018.18403046192,8468.813125850433,8944.767978397838,9447.471918249083
Bahrain,0.07179591514503865,42,3/4/20,4.128145094423784,3.9512437185814275,52.00000000000001,62.062695659687435,66.68239730153105,71.64597126527119,76.97901404672811,82.70902744365127,88.86556037886038,95.48036128014051,102.58754180269388,110.22375273844351,118.42837301932992,127.24371278926577,136.71523159196371,146.89177279980348,157.82581549265646,169.57374508557493,182.19614410093453,195.758104584507,210.32956377654875,225.98566476891853,242.80714400808432,260.8807476423219,280.29967886015254,301.1640785268848,323.58154159784,347.6676719713359,373.5466786427329,401.35201623382903,431.2270732007311,463.32591126919743,497.81405991062536,534.869369955686,574.6829307475858,617.460055564589,663.4213403934948,712.8038015140268,765.8620977605052,822.8698437638445,884.1210209460924,949.9314935438225,1020.6406374783138,1096.613090472384,1178.2406324390006,1265.9442058385825,1360.1760864237124,1461.4222155654982,1570.2047061890885,1687.0845352411166,1812.6644365737752,1947.5920091637408,2092.563056694624,2248.3251757247294,2415.6816109438405,2595.4953974000655,2788.6938110576757,2996.2731506368677,3219.3038753947685,3458.936125342541,3716.4056523656222,3993.040192833097,4290.266314558915,4609.6167734238215,4952.738417595137,5321.4006801054,5717.5047035849775,6143.093144203691
Japan,0.08030431919166221,26,2/17/20,4.263204920381562,3.970291913552122,53.00000000000001,71.03728786517355,76.97719734144303,83.4137829387553,90.38857511648855,97.94657697742583,106.1365546390251,115.01135188459979,124.62823112461957,135.04924286809796,146.34162608798857,158.57824206384825,171.83804450102713,186.20658895971377,201.7765848807977,218.64849377035873,236.93117740241973,256.7426002223253,278.2105904828362,301.47366502397017,326.68192301828304,353.9980144482538,383.59818956463243,415.67343609712066,450.4307115549475,488.09427856845844,528.9071518876701,573.1326663741887,621.0561761035724,672.9868955411569,729.2598946710951,790.2382609516549,856.3154420462702,927.9177844462287,1005.5072843648092,1089.5845686523562,1180.6921249658633,1279.4178020349584,1386.3986026088646,1502.324793557384,1627.94435964531,1764.067829717106,1911.5735064316564,2071.4131332905768,2244.61803552522,2432.3057744649027,2635.6873583219617,2856.0750559195158,3094.890863777945,3353.675681191938,3634.099252497971,3937.9709406821567,4267.251401842607,4624.065235832676,5010.714694710399,5429.694537444301,5883.708126721913,6375.684871721669,6908.799129393286,7486.49068620234,8112.486952492486,8790.827012668788,9525.887686380063,10322.411768853475,11185.53863259495,12120.83738790544
Singapore,0.08277523519967912,23,2/14/20,3.599636964161105,3.912023005428146,49.99999999999999,36.584950384375354,39.74214451716384,43.17179698835069,46.89742030399055,50.94455604344229,55.3409499635653,60.11674221399102,65.30467396751963,70.9403118822282,77.06229193412435,83.71258429197755,90.93678105021802,98.78440879249959,107.30926812875431,116.56980253348652,126.6294990139337,137.55732335493593,149.42819292440157,162.32349028075907,176.3316211035094,191.5486202718571,208.0788102464843,226.035516268105,245.5418432759518,266.7315198724789,289.7498151202102,314.7545344559717,341.9171015501553,371.42373352785535,403.47671760880047,438.2957979182624,476.1196819764565,517.2076771943796,561.8414685953558,610.3270499497061,662.9968215617589,720.211869090869,782.3644390292843,849.8806278078399,923.2233029650948,1002.8952764063877,1089.4427515076204,1183.4590676958674,1285.588768178405,1396.532018707044,1517.0494076713385,1647.967160428376,1790.1828036168572,1944.6713182879555,2112.491824036759,2294.7948399583256,2492.830172206963,2707.9554822331093,2941.645594438649,3195.5026070607323,3471.2668756008165,3770.8289440974454,4096.242506039511,4449.738483775476,4833.740322942083,5250.88060676583,5704.01910413916,6196.262375202676,6730.985068842379,7311.853058110232
Estonia,0.13935406457532598,51,3/13/20,4.698454631470487,4.3694478524670215,79.0,109.77739477023846,126.19252235900655,145.06222098509508,166.7535251990841,191.68835260821385,220.35171059671717,253.3011302055437,291.1775106698979,334.7175855517081,384.76825294580505,442.30304849667436,508.44108164247785,584.4688034152597,671.8650292028759,772.3297031904436,887.8169639785234,1020.573154537449,1173.180515829516,1348.6074139837715,1550.2660779922917,1782.078970984007,2048.555086063881,2354.877650747979,2707.0049459335846,3111.7862004343788,3577.0948153455624,4111.981509586349,4726.85036545406,5433.661198452428,6246.16218768993,7180.1572917426765,8253.813651488357,9488.014959204487,10906.767667314,12537.66793794555,14412.438415945433,16567.545266114048,19044.907476659795,21892.712225533345,25166.352169334816,28929.502886002178,33255.36142862181,38228.07008147294,43944.35301178956,50515.39765175536,58069.01740549834,66752.13774790299,76733.65407235417,88207.71687541482,101397.50817857301,116559.58264224636,133988.85781106044,154024.35055567542,177055.77129070263,203531.10423285942,233965.32114297862,268950.3980428936,309166.82974237256,355396.8661452024,408539.72779383213,469629.09661017434,539853.2220450023,620578.0337206998,713373.7101314326,820045.2201885738
Slovenia,0.1541864018661705,49,3/11/20,4.5070967478816195,4.04305126783455,57.00000000000001,90.65823236199839,105.7717160695371,123.40474360477764,143.9773439446624,167.97956840094332,195.98316392759983,228.655192465995,266.7739207484968,311.2473590649347,363.1348905960939,423.6725065375604,494.3022481292524,576.7065569169089,672.8483514887606,785.0177853385684,915.8867996545341,1068.57277051327,1246.712766592009,1454.5501862609913,1697.035837801973,1979.9458705424802,2310.019366094062,2695.1188671979016,3144.4176680682963,3668.6183275990006,4280.207610544104,4993.753929520835,5826.2543730757725,6797.539586225018,7930.7461479583535,9252.867698014476,10795.397941087811,12595.08084520119,14694.78590440632,17144.529315078755,20002.66539082112,23337.276596170876,27227.79531052425,31766.895953636922,37062.702544232015,43241.36427704567,50450.06047005478,58860.506461478304,68673.04396905845,80121.41334636079,93478.32141401456,109061.93749487442,127243.4723924411,148456.0208482161,173204.87811047235,202079.5763611097,235767.92771529022,275072.4083062754,320929.27373389807,374430.8612177791,436851.60970555566,509678.4177502322,594646.0622989816,693778.5220895262,809437.1900014709,944377.1228088419,1101812.6682356773,1285494.0325892996,1499796.6128569064,1749825.2212079333
India,0.15472429884214706,48,3/10/20,3.860905360229143,3.9512437185814275,52.00000000000001,47.508344069249056,55.45820417236331,64.73836270825315,75.57142660298923,88.21725295321562,102.97918232370374,120.2113151004899,140.32700544042868,163.8087765649762,191.21989524037477,223.21788308599008,260.57028881203064,304.17309972171563,355.07223412205474,414.4886301904177,483.84753311370724,564.8126830226186,659.3262238008328,769.655290077928,898.4463899071009,1048.7888876270472,1224.2891096971452,1429.1568511126668,1668.3063574644798,1947.474204940842,2273.3569059067245,2653.7715408614554,3097.8432699186283,3616.2242217221624,4221.349010375711,4927.733009573626,5752.320538755997,6714.891313370324,7838.534908926926,9150.204620009968,10681.363999884747,12468.741589508802,14555.21193993801,16990.82406156914,19834.00197004801,23152.946126824776,27027.26939127922,31549.906726663157,36829.34446875072,42992.222631567674,50186.37267276291,58584.363586730964,68387.64138706049,79831.36127375261,93190.0283963623,108784.0825203379,126987.58454561893,148237.18925713128,173042.61954018453,201998.89331002373,235800.5964478522,275258.5441140327,321319.2301001366,375087.53075934417,437853.2081235749,511121.84794836876,596650.9748089452,696492.2105549007,813040.4873954784,949091.496109663
Denmark,0.15781785904712534,47,3/9/20,5.575416501142435,4.51085950651685,90.99999999999997,263.85943050809476,308.96696450322554,361.7857621026317,423.6340861575038,496.05556037219765,580.8576953949067,680.1570010551426,796.4318106688921,932.5841358117613,1092.0120953447754,1278.6947263919433,1497.2912940001238,1753.2575780729321,2052.982039892836,2403.94526670469,2814.906673812665,3296.123123941512,3859.60492021094,4519.415561850474,5292.022744022197,6196.709362079845,7256.054778196723,8496.498361917704,9948.999369601113,11649.809632162687,13641.378336027741,15973.411479008133,18704.112443230304,21901.634647599203,25645.782535408784,30030.003350712133,35163.719414631916,41175.059111061986,48214.05474228609,56456.38706727783,66107.76997967048,77409.08475912755,90642.39203785741,106137.9715302198,124282.56522450018,145529.02977219902,170407.638981228,199539.31850306285,233651.14302800084,273594.4827708391,320366.2521508512,375133.7909951517,439263.99925585993,514357.4523915555,602288.3488720171,705251.2868246267,825816.0372839645,966991.6810871054,1132301.7101569492,1325871.967567484,1552533.6212179724,1817943.7411550167,2128726.489937115,2492638.449901073,2918762.213603476,3417733.069108988,4002004.4377853023,4686158.689458054,5487271.092316905,6425335.981112261
Philippines,0.16159727690368414,51,3/13/20,4.3415526020752155,4.04305126783455,57.00000000000001,76.82672812549332,90.3011214025663,106.13874527158447,124.75407916148149,146.63429671799483,172.3520154090456,202.58028224248622,238.11018778078974,279.8715694212426,328.9573457580081,386.6521188698497,454.4657930713042,534.173089948725,627.859993811679,737.9783430629969,867.409996174017,1019.5422515242839,1198.3564948848846,1408.5323944993775,1655.5703706055601,1945.93554449361,2287.2269343275243,2688.3763256786888,3159.8820213240415,3714.0835876711576,4365.48478807704,5131.133154405305,6031.066130420495,7088.835462840555,8332.123563652956,9793.467974239305,11511.112890937655,13530.010036940286,15902.995073901438,18692.17034060129,21970.530105706588,25823.870868396545,30353.036700484816,35676.558391890125,41933.75546736039,49288.38225595494,57932.9134329512,68093.5811891924,80036.29585340075,94073.60491343646,110572.8725579609,129965.89380166064,152760.19480103842,179552.3150963247,211043.41938316723,248057.64738285466,291563.6820373874,342700.1004810564,402805.1712375696,473451.87745194917,556489.0827346668,654089.9169510641,768808.6482390895,903647.5296276992,1062135.3696691222,1248419.8833221516,1467376.2399604595,1724734.6492677398,2027230.3240134725,2382779.744318689
Romania,0.16195307073689222,51,3/13/20,4.510183973345287,4.406719247264253,82.00000000000001,90.9385472404135,106.9260040271713,125.72413661934664,147.8270760465666,173.81582407394805,204.37352551699462,240.30342550673456,282.5499837329414,332.2237006781582,390.63030842929203,459.3050933816054,540.0532530477503,634.9973477980552,746.6330948568739,877.8949711658321,1032.233349562407,1213.7051958890365,1427.0807111129716,1677.9687216704447,1972.9641140678689,2319.8211892319887,2727.6574934320324,3207.1934837094427,3771.0343277029256,4434.001245308775,5213.521101881777,6130.084493892326,7207.784368360126,8474.94933430996,9964.888313586145,11716.766105048453,13776.632877384183,16198.63465196636,19046.43659472381,22394.896529924386,26332.032666149855,30961.337258454576,36404.49702403966,42804.59182076891,50329.85566955434,59178.09898350921,69581.90824736422,81814.75982683733,96198.20861662892,113110.3404891116,132995.7107262721,156377.02967828079,183868.9028199711,216193.98637877745,254201.98320381992,298891.9782048961,351438.70047467673,413223.4024248777,485870.16763083043,571288.6017788594,671724.0288982389,789816.5123447408,928670.251971755,1091935.1816752686,1283902.912200172,1509619.5411774023,1775018.2957364942,2087075.494360626,2453993.9276250103,2885418.4781970643
