Country,slope(log cases),start day,start date,intersecpt(log cases),MSE fit
Singapore,0.04693481800185514,21,2/12/20,3.9501366005325123,3.912023005428146
Qatar,0.05961387409230876,49,3/11/20,5.6441318040288335,5.568344503761097
Japan,0.0833215626972436,25,2/16/20,4.319153527921288,4.07753744390572
Bahrain,0.1046960266239699,42,3/4/20,4.101918236293485,3.9512437185814275
Estonia,0.1397339909177377,51,3/13/20,4.700326195166174,4.3694478524670215
Slovenia,0.1544802834249365,49,3/11/20,4.508418709845947,4.04305126783455
Egypt,0.15560045514623072,47,3/9/20,3.874013746477224,4.007333185232471
India,0.1570583734559841,48,3/10/20,3.9447547749735854,4.02535169073515
Denmark,0.15813993847598595,47,3/9/20,5.578450725276723,4.5217885770490405
Iceland,0.1669964783099148,45,3/7/20,3.7917392293784067,3.912023005428146
Greece,0.16918590682860396,46,3/8/20,4.247923592181822,4.290459441148391
Thailand,0.17026665266619473,45,3/7/20,3.52363613272,3.912023005428146
Romania,0.17088291069671502,51,3/13/20,4.565471635382297,4.48863636973214
Philippines,0.17846449229181793,50,3/12/20,4.175086489494646,3.9512437185814275
Sweden,0.1805658041304046,43,3/5/20,4.854351107782243,4.543294782270004
Australia,0.18904028117782434,42,3/4/20,3.6496973196183022,3.9512437185814275
Malaysia,0.19354483994321994,42,3/4/20,3.80165943433492,3.912023005428146
Finland,0.19952156918516548,49,3/11/20,4.412963235027109,4.07753744390572
Iran,0.2020876715113255,33,2/24/20,5.439125743649657,4.110873864173311
Saudi Arabia,0.20576257210887033,51,3/13/20,4.317990245904023,4.454347296253507
Norway,0.20786749428404283,42,3/4/20,4.491678354193974,4.02535169073515
Israel,0.2122773525061043,46,3/8/20,4.003679038116215,4.110873864173311
Italy,0.21347929469526888,31,2/22/20,5.351164271081363,4.127134385045092
Netherlands,0.21958434747468253,43,3/5/20,4.773839150892933,4.406719247264253
Belgium,0.22182465647796418,43,3/5/20,4.443632040969419,3.912023005428146
Indonesia,0.22687136369917352,51,3/13/20,4.282376196308508,4.23410650459726
Canada,0.23388516649703833,45,3/7/20,3.811344083220605,3.9889840465642745
United Kingdom,0.2362246813980793,41,3/3/20,4.262781725506819,3.9318256327243257
France,0.24246278461973717,37,2/28/20,4.547833534741828,4.04305126783455
Peru,0.2428038886762858,54,3/16/20,4.523067108432896,4.454347296253507
Poland,0.24330074102101676,51,3/13/20,4.351909025985645,4.219507705176107
Czechia,0.24436659977095915,49,3/11/20,4.471631637681365,4.51085950651685
Russia,0.24461524594004116,52,3/14/20,4.010733920602024,4.07753744390572
Switzerland,0.24758212099523838,41,3/3/20,4.410307211920787,4.02535169073515
US,0.2574367779973284,33,2/24/20,3.089251829109285,3.9318256327243257
Germany,0.26147948538529314,38,2/29/20,4.664017106191712,4.3694478524670215
Austria,0.2620893963325637,44,3/6/20,4.1808690279212515,4.007333185232471
South Africa,0.26591767913320147,53,3/15/20,3.863332449927345,3.9318256327243257
Ireland,0.27639490786197535,51,3/13/20,4.4319271037239645,4.499809670330265
Chile,0.292101095396383,52,3/14/20,4.222055879798343,4.110873864173311
Spain,0.29216128797280394,39,3/1/20,4.587213237676942,4.430816798843313
Brazil,0.30035782743299216,50,3/12/20,4.268312544929395,3.9512437185814275
Portugal,0.31206907519735344,49,3/11/20,4.08712437091319,4.07753744390572
Pakistan,0.3555351071580717,53,3/15/20,4.45926744134129,3.970291913552122
Luxembourg,0.38065666238802465,52,3/14/20,3.7877754225047156,3.9318256327243257
Ecuador,0.5204197993929359,55,3/17/20,4.176607647312853,4.060443010546419
Turkey,0.631911865905135,56,3/18/20,4.6067159861075835,4.584967478670572
