Country,slope(log cases),start day,start date,intersecpt(log cases),MSE fit,total cases,total deaths,total recovered,mortality,temp,Population,Population Density,fraction of Population affected per million,exp MSE,pred_day 0,pred_day 1,pred_day 2,pred_day 3,pred_day 4,pred_day 5,pred_day 6,pred_day 7,pred_day 8,pred_day 9,pred_day 10,pred_day 11,pred_day 12,pred_day 13,pred_day 14,pred_day 15,pred_day 16,pred_day 17,pred_day 18,pred_day 19,pred_day 20,pred_day 21,pred_day 22,pred_day 23,pred_day 24,pred_day 25,pred_day 26,pred_day 27,pred_day 28,pred_day 29,pred_day 30,pred_day 31,pred_day 32,pred_day 33,pred_day 34,pred_day 35,pred_day 36,pred_day 37,pred_day 38,pred_day 39,pred_day 40,pred_day 41,pred_day 42,pred_day 43,pred_day 44,pred_day 45,pred_day 46,pred_day 47,pred_day 48,pred_day 49,pred_day 50,pred_day 51,pred_day 52,pred_day 53,pred_day 54,pred_day 55,pred_day 56,pred_day 57,pred_day 58,pred_day 59,pred_day 60,pred_day 61,pred_day 62,pred_day 63,pred_day 64
Diamond Princess,0.032026697838102906,16,2/7/20,5.410347383613152,4.110873864173311,712,10,603,0.014044943820224719,,,,,61.00000000000001,223.70928712446477,230.9899219045561,238.50750546528334,246.26974932169168,254.284615960636,262.5603270086764,271.10537166579854,279.9285154136099,289.03880900694537,298.44559775810404,308.15853112324356,318.1875726007638,328.543009951834,339.23546575354766,350.2759082955312,361.67566283118293,373.4464231950844,385.6002637985016,398.1496520152805,411.10746097084217,424.48698274739706,438.3019420189237,452.56651012989806,467.29531963221916,482.5034792952346,498.2065896042737,514.4207587635785,531.1626192200525,548.4493447247758,566.2986679497874,584.728898678209,603.7589425863661,623.4083206371745,643.6971891046874,664.6463602503411,686.2773236721115,708.6122683484824,731.6741053998286,755.4864915905835,780.0738535962713,805.4614130603226,831.6752124663607,858.7421418525043,886.6899663950901,915.5473548901076,945.3439091615667,976.1101944269607,1007.8777706509763,1040.679224919612,1074.5482048679185,1109.5194531956338,1145.6288433061568,1182.9134161053616,1221.4114179980668,1261.162340121071,1302.2069588530517,1344.5873776428518,1388.3470701990748,1433.5309250852847,1480.1852917665642,1528.358028154658,1578.0985497004788,1629.457880084329,1682.488703555842,1737.2454189773368
Qatar,0.04231575687870443,49,3/11/20,5.719356847539558,5.568344503761097,634,1,48,0.0015772870662460567,19.536155202821867,2881053.0,248.0,220.05843002541084,261.99999999999994,304.70888565320257,317.8795712902456,331.6195444286297,345.9534118555871,360.90684395798513,376.50662069517534,392.78067955897063,409.7581656066309,427.4694836564719,445.94635273956203,465.2218629050365,485.3305344807501,506.3083798954031,528.1929681728602,551.0234922141545,574.8408389876852,599.6876627532964,625.6084614513895,652.6496563938575,680.8596753995745,710.2890395233146,740.9904535334266,773.0189003003068,806.4317392646932,841.2888091621485,877.6525351876764,915.5880407924161,955.1632643126047,996.449080639704,1039.5194281495665,1084.4514411179675,1131.3255878596522,1180.2258148382673,1231.2396970052928,1284.4585946371824,1339.9778169516203,1397.8967927958863,1458.319248713039,1521.3533947047933,1587.1121180237783,1655.7131853422545,1727.2794536593167,1801.9390903243357,1879.8258025706339,1961.0790769705113,2045.8444292404076,2134.273664843626,2226.525150857291,2322.764099590435,2423.162864461155,2527.9012486627166,2637.1668271713734,2751.1552826726156,2870.070756007423,2994.126211766158,3123.5438196848336,3258.555352526772,3399.40260116225,3546.337807589447,3699.624116672276,3859.5360474039935,4026.359984540668,4200.3946914848875,4381.951845338338,4571.3565950813345
Singapore,0.05578578589918488,21,2/12/20,3.8268475919829026,3.912023005428146,844,3,212,0.0035545023696682463,28.779541446208114,5850342.0,8358.0,144.26507031554738,49.99999999999999,45.91755895637903,48.55190237894814,51.33738112808426,54.282666012134136,57.39692529373983,60.68985322936669,64.17170024617671,67.85330485018424,71.74612736501932,75.86228560632287,80.21459260282343,84.81659648151508,89.68262264109464,94.82781834493755,100.26819987242422,106.02070237539245,112.10323259491255,118.534724602484,125.33519873916967,132.52582393613594,140.1289836105943,148.16834534226973,156.66893454728736,165.65721237881655,175.1611580969642,185.21035616432385,195.83608833829837,207.0714310468634,218.95135835089303,231.51285081355184,244.79501061565009,258.8391832753009,273.68908635077156,289.3909455271715,305.99363851058513,323.5488471775817,342.1112184537157,361.738534421814,382.49189218957287,404.4358940763638,427.63884871127937,452.1729836684052,478.11467030122236,505.54466147602255,534.5483429443566,565.2159991370221,597.6430942069481,631.9305691958419,668.185156249629,706.5197108607895,747.0535631718341,789.9128894334523,835.2311047736528,883.1492785005244,933.8165732313838,987.3907092152908,1044.0384552942621,1103.93614803151,1167.2702406226638,1234.2378832986633,1305.0475370270385,1379.9196224219347,1459.0872058828638,1542.796725098024,1631.3087561705827
Japan,0.07738823661126484,25,2/16/20,4.393287459572765,4.07753744390572,1866,54,424,0.028938906752411574,3.5423280423280485,126476461.0,347.0,14.753733503027098,59.000000000000014,80.90595733195588,87.41576956434852,94.44937085626783,102.048906045243,110.25991100437005,119.13158549001724,128.7170879432579,139.07385401145964,150.2639406985892,162.3543982063559,175.4176716942408,189.53203536572744,204.78206148174945,221.25912711164884,239.06196165806148,258.2972384364595,279.080213854053,301.5354180179656,325.79740091075894,352.0115386043364,380.3349043430021,410.937209715144,444.00182155297136,479.72686065350405,518.3263889042627,560.0316919268395,605.0926649238542,653.7793100331946,706.3833541615782,763.2199969913803,824.6297996346618,890.9807252510741,962.67034385688,1040.1282145361497,1123.8184593281703,1214.242544213618,1311.9422838629664,1417.5030881513671,1531.5574698928885,1654.788834812207,1787.935576462991,1931.7955006294376,2087.2306057216497,2255.172247808671,2436.6267212376474,2632.6812882778245,2844.510693918551,3073.3842048575148,3320.673214856306,3587.8594620340773,3876.5439073367224,4188.4563273807335,4525.465679151373,4889.5912986597,5283.015000659991,5708.094151928206,6167.375796435667,6663.611917054954,7199.775925245092,7779.080477521053,8404.996725462559,9081.275114606906,9811.967856851252,10601.453211017442,11454.461717066737
Bahrain,0.08896225505771281,42,3/4/20,4.2136326704410045,3.9512437185814275,499,4,272,0.008016032064128256,19.694885361552032,1701575.0,2239.0,293.2577171150258,52.00000000000001,67.60166888830518,73.89128752216446,80.76608849264248,88.2805168125494,96.49408302595671,105.4718345021812,115.28487057867666,126.01090563251142,137.73488453967767,150.549655396364,164.55670482981168,179.86696172205112,196.60167571161008,214.89337743049498,234.88692808104116,256.740666664765,280.6276639486961,306.7370930999851,335.2757278435313,366.46958000729364,400.56568942383467,437.83408036322885,478.56989999130906,523.0957557887862,571.7642704424383,624.960874441838,683.1068584976011,746.6627099547951,816.1317596242474,892.0641679128397,975.061281820975,1065.7803973124692,1164.9399647724686,1273.3252787780486,1391.7946972416491,1521.2864391798732,1662.8260149426,1817.5343477461724,1986.636650829125,2171.4721305331514,2373.5045921528967,2594.334032547644,2835.7093113225997,3099.5420009292934,3387.921525370991,3703.1317074041212,4047.668855281444,4424.261532274865,4835.892165542802,5285.820665473582,5777.610242558299,6315.155626250117,6902.7139092891175,7544.938261764751,8246.914781914274,9014.202775497393,9852.878782739605,10769.584701516073,11771.58038788734,12866.801150557538,14063.920594582209,15372.419312017026,16802.65996350319,18365.96934539823,20074.728092383688
Iraq,0.10822894438772356,45,3/7/20,3.9048296532084557,3.9889840465642745,547,42,143,0.07678244972577697,14.417107583774241,40222493.0,93.0,13.59935596234674,54.00000000000001,49.64162290069702,55.31580086241365,61.63855342060629,68.6840144868356,76.53479168852051,85.28293493863733,95.03101571567693,105.89332970835403,117.99723692601079,131.48465498743008,146.5137230967872,163.2606562167592,181.9218111788693,202.7159889560874,225.88700009170606,251.70652336399309,280.4772912043056,312.5366392175049,348.26046142260174,388.067617588595,432.4248443412721,481.8522276234077,536.9293006726537,598.3018390155519,666.6894321485906,742.8939206838314,827.8087978841551,922.4296858205868,1027.866008984045,1145.3540022239479,1276.2712055310103,1422.1526156147238,1584.7086836518447,1765.8453702284637,1967.6864926187034,2192.598626420596,2443.2188535194023,2722.4856817216632,3033.673498590907,3380.430963454264,3766.823787724068,4197.382405131268,4677.155090801438,5211.767151991401,5807.486884494603,6471.299068050266,7210.986862485616,8035.223064819161,8953.671797308813,9977.101818731817,11117.512787464602,12388.275956789781,13804.290952074978,15382.160468026892,17140.3849343354,19099.57943215229,21282.715404736584,23715.38999631096,26426.126177111662,29446.707173580373,32812.54912487374,36563.116335066494,40742.38398985545,45399.35376309368,50588.62835860874
Estonia,0.1114928429636003,51,3/13/20,4.796247508401391,4.3694478524670215,679,3,20,0.004418262150220913,1.3298059964726663,1326535.0,31.0,511.85984538666526,79.0,121.05530513459502,135.33326301839685,151.29524525044974,169.13987533339895,189.0892035664465,211.39147013627223,236.32419410276697,264.1976267174805,295.358612046281,330.19490293602075,369.1399860310964,412.678475880171,461.3521452548207,515.7666667185932,576.5991493354362,644.6065643008016,720.6351643400643,805.6310140848899,900.6517624626607,1006.8798035891194,1125.6369899322704,1258.401080831326,1406.824131048444,1572.75304817184,1758.2525746771128,1965.630980624821,2197.468786702407,2456.6508750265953,2746.402387278252,3070.3288568694256,3432.4610745286313,3837.3052455909356,4289.899063126829,4795.874394658021,5361.52736250438,5993.896689809567,6700.851287146779,7491.188169591761,8374.741922697773,9362.507079516296,10466.774931466296,11701.286475463074,13081.403400509882,14624.29924143015,16349.17307836851,18277.48844123834,20433.240391931657,22843.254107738827,25537.518681411504,28549.560291521804,31916.859386676628,35681.31707483423,39889.77652125519,44594.60584312173,49854.34975409618,55734.45806758054,62308.10012383448,69657.0752753049,77872.83075982354,87057.59962761479,97325.67288195026,108804.821663378,121637.88717452598,135984.55812976867,152023.35784751351
Denmark,0.11350196982859957,47,3/9/20,5.805661274459349,4.5217885770490405,2564,72,73,0.028081123244929798,6.038359788359785,5792202.0,137.0,442.66411979416466,92.00000000000001,332.17477942988666,372.100226584921,416.8244767474119,466.9243177042306,523.0458637285742,585.9128882142858,656.3361578436119,735.22388866682,823.5934589408387,922.5845297819492,1033.4737428434612,1157.6911845674533,1296.8388293423725,1452.711199419264,1627.3185080279623,1822.9125841591801,2042.0159133523466,2287.4541690146702,2562.392653812656,2870.3771211037333,3215.3795028629274,3601.8491338363115,4034.7701325352596,4519.725679087366,5062.97001890559,5671.509120773218,6353.191029554374,7116.807078766952,7972.205268309099,8930.41726951897,10003.80069549289,11206.198471455604,12553.11736050799,14061.927947115724,15752.08865743229,17645.396705542156,19766.269201960713,22142.058049715888,24803.402689079827,27784.62524013424,31124.17313913887,34865.11497717841,39055.695935686614,43749.95998204076,49008.44684939341,54898.97278936409,61497.50516659429,68889.14217440496,77169.21030649028,86444.49373822883,96834.61147237147,108473.56000950588,121511.4414384061,136116.39923263615,152476.78671847543,170803.5961798868,191333.17992755768,214330.29842437222,240091.5347775709,268949.119632704,301275.2157972533,337486.7178507186,378050.6286394937,423490.0819946789,474391.08934502385
Slovenia,0.1158929925124569,49,3/11/20,4.6797161826346585,4.04305126783455,730,11,10,0.015068493150684932,5.551146384479718,2078938.0,103.0,351.1408228624423,57.00000000000001,107.73948989349344,120.97805616563699,135.84332066250008,152.53516508274325,171.27803173058527,192.3239414176386,215.95588219157597,242.49161445723485,272.28794365467854,305.7455179456056,343.31421541888216,385.49919325277403,432.8676801722849,486.05660353450617,545.7811535974924,612.8444001297532,688.148090667458,772.7047756151593,867.6514232268711,974.2647075376062,1093.978174810354,1228.4015193224031,1379.3422276775998,1548.8298826788214,1739.1434535560336,1952.8419395004764,2192.798778544873,2462.240484459195,2764.7900311824196,3104.515568147123,3485.98512153415,3914.328016982769,4395.303849659921,4935.379929075669,5541.818239985309,6222.773088673989,6987.400747597935,7845.982572688672,8810.06324878342,9892.606022060827,11108.16700677241,12473.090910037297,14005.730806460013,15726.694917710376,17659.123715319387,19829.001072677805,22265.50365005732,25001.39321056413,28073.45714219373,31523.003109345722,35396.41448499456,39745.774031982364,44629.56421959321,50113.453592023325,56271.179762435306,63185.540905532675,70949.50908048918,79667.48035422203,89456.67853444988,100448.73138744631,112791.44053466832,126650.76882668897,142213.07191711146,159687.6040427132,179309.33170310143
Egypt,0.13164878556883786,47,3/9/20,4.001323094433915,4.007333185232471,609,40,132,0.06568144499178982,17.174603174603174,102334404.0,103.0,5.9510778017527715,55.000000000000014,54.67043635182286,62.362983112658966,71.13792978863087,81.14757829127853,92.56566057101618,105.59035398681115,120.44772096134234,137.39563262183472,156.7282445270419,178.78110216310182,203.9369648215425,232.6324489412775,265.3656062194142,302.7045680199709,345.2974061167292,393.8833809177112,449.3057724005018,512.5265164578922,584.6429006888242,666.9066094142747,760.7454484719211,867.7881268548662,989.892525315679,1129.177942578296,1288.0618788375432,1469.3019949771656,1676.0439757693998,1911.8761277912479,2180.8916596833756,2487.759725715787,2837.806465724209,3237.107447982761,3692.593119492821,4212.169093930664,4804.853365025386,5480.932826904161,6252.141818042124,7131.865787705751,8135.373619815909,9280.082646547871,10585.860951363109,12075.372208380066,13774.46904327057,15712.641743030192,17923.530102630706,20445.507292394657,23322.345879956367,26603.977566585058,30347.359824194715,34617.464474781635,39488.40537051787,45044.72474702187,51382.86057633113,58612.82038761354,66860.09060720028,76267.81455730325,86999.27691573885,99240.73775805642,113204.66537097849,129133.42394731301,147303.48016762457,168030.2016799831,191673.33076235966,218643.2281710066,249407.99554586146
