Country,slope(log cases),start day,start date,intersecpt(log cases),MSE fit,total cases,total deaths,total recovered,mortality,mu at 21,temp
Denmark,0.15813993847598595,47,3/9/20,5.578450725276723,4.5217885770490405,6513,285,2403,0.04375863657300783,0.08596677234566143,-18.053050699300716
Japan,0.11331526220400155,25,2/16/20,4.100618729510864,4.07753744390572,7370,123,784,0.016689280868385347,0.10505516647069593,11.95190733590733
Pakistan,0.2151880270813152,53,3/15/20,4.878213346399244,3.970291913552122,5496,93,1095,0.016921397379912665,0.12272865589722007,20.615513304305733
Serbia,0.19980258848845422,54,3/16/20,4.061339183811478,4.007333185232471,4054,85,0,0.02096694622594968,0.13197916169791898,9.986563171193945
Peru,0.1607765647312696,54,3/16/20,4.741860708998943,4.454347296253507,9784,216,2642,0.022076860179885527,0.14310992198227387,19.935974230044003
Ecuador,0.25002555883659133,55,3/17/20,4.880656637829832,4.060443010546419,7529,355,597,0.04715101607119139,0.1535429164821273,21.869970347003168
Mexico,0.20378452403824532,54,3/16/20,4.185164513811344,3.970291913552122,4661,296,1843,0.06350568547521991,0.1614196486909419,20.56755804195808
Indonesia,0.19852941898062007,51,3/13/20,4.380399702424854,4.23410650459726,4557,399,380,0.08755760368663594,0.1641843691899246,25.684483767961684
Malaysia,0.18931600874083343,42,3/4/20,3.816976080243885,3.912023005428146,4817,77,2276,0.015985052937512977,0.16498595863869614,25.80544200779728
Russia,0.2228877239454084,52,3/14/20,4.076605512796773,4.07753744390572,18328,148,1470,0.008075076385857704,0.17063192827992343,-5.521881912681911
Israel,0.19194636280025612,46,3/8/20,3.9147548638322407,4.110873864173311,11586,116,1855,0.010012083549110996,0.1718260589512147,19.626577302631585
Sweden,0.21790334722351176,43,3/5/20,4.675715730760742,4.543294782270004,10948,919,381,0.08394227256119839,0.17293268550104574,2.386331964624136
Philippines,0.17719645445039997,50,3/12/20,4.1800666147288315,3.9512437185814275,4932,315,242,0.06386861313868614,0.1796600287159298,26.440472486772517
India,0.16351815819455928,48,3/10/20,3.9189156360192854,4.02535169073515,10453,358,1181,0.03424854108868267,0.18114640327782947,23.87378947368426
Saudi Arabia,0.2045694026117602,51,3/13/20,4.322819273621564,4.454347296253507,4934,65,805,0.0131738954195379,0.18253052786404886,25.54640783525872
