Country,slope(log cases),start day,start date,intersecpt(log cases),MSE fit,total cases,total deaths,total recovered,mortality,temp,Population,Population Density
Poland,0.09933157541307587,25,2/16/20,4.169574931331251,4.07753744390572,2554,43,47,0.016836335160532498,4.286596119929452,37846611.0,124.0
Denmark,0.11350196982859957,47,3/9/20,5.805661274459349,4.5217885770490405,3290,104,971,0.031610942249240125,6.038359788359785,5792202.0,137.0
Greece,0.14046130367507392,46,3/8/20,4.404058496814605,4.290459441148391,1415,50,52,0.0353356890459364,9.766313932980593,10423054.0,81.0
Finland,0.15399424786689503,49,3/11/20,4.620756461742565,4.07753744390572,1446,17,10,0.011756569847856155,-0.20546737213403907,5540720.0,18.0
Australia,0.16093621862795118,43,3/5/20,4.971470245425681,4.543294782270004,4862,20,422,0.004113533525298231,20.58730158730156,25499884.0,3.0
Pakistan,0.1746452844843486,50,3/12/20,4.1895303034767695,3.9512437185814275,2118,27,94,0.012747875354107648,13.796296296296294,220892340.0,287.0
India,0.18182874735708465,45,3/7/20,3.4643381206044324,3.912023005428146,1998,58,148,0.02902902902902903,27.529982363315696,1380004385.0,464.0
Saudi Arabia,0.18241484456713128,51,3/13/20,4.455673668527327,4.23410650459726,1720,16,264,0.009302325581395349,19.51587301587302,34813871.0,16.0
Luxembourg,0.1863551409685818,51,3/13/20,4.5133650560996665,4.48863636973214,2319,29,80,0.01250539025442001,4.940035273368591,625978.0,242.0
Chile,0.18811126975817896,42,3/4/20,3.8353393672435088,3.912023005428146,3031,16,234,0.005278785879247773,21.60052910052911,19116201.0,26.0
Thailand,0.18843038822996844,51,3/13/20,4.398668919328156,4.454347296253507,1771,12,505,0.006775832862789385,29.06525573192241,69799978.0,137.0
Brazil,0.19226234646795973,42,3/4/20,4.587805377553834,4.02535169073515,6836,240,127,0.03510825043885313,25.65520282186949,212559417.0,25.0
Netherlands,0.1946546678120767,29,2/20/20,5.783180191739142,4.6443908991413725,13696,1175,260,0.08579147196261683,20.6740152851264,17134872.0,508.0
Norway,0.19542257315092806,42,3/4/20,3.6117301536042663,3.9512437185814275,4863,44,13,0.009047912811022003,6.410934744268072,5421241.0,15.0
Czechia,0.19657709287552966,49,3/11/20,4.687175409744743,4.51085950651685,3508,39,61,0.011117445838084378,4.966490299823631,,
Romania,0.20076628842637295,51,3/13/20,4.518679560643123,4.219507705176107,2460,92,252,0.03739837398373984,3.4126984126984143,19237691.0,84.0
Philippines,0.20231393764824918,53,3/15/20,4.9340010672758625,3.970291913552122,2311,96,50,0.04154045867589788,25.565255731922385,109581078.0,368.0
Turkey,0.20804543342516826,43,3/5/20,4.842950772459453,4.406719247264253,15679,277,333,0.017666943044837045,2.6366843033509704,84339067.0,110.0
Belgium,0.21128014197708087,43,3/5/20,4.507000480776776,3.912023005428146,13964,828,2132,0.059295330850759095,7.2539682539682575,11589623.0,383.0
Sweden,0.2170552341171467,46,3/8/20,3.78350322343799,4.110873864173311,4947,239,103,0.04831210834849404,3.0793650793650684,10099265.0,25.0
Japan,0.2199770286454168,52,3/14/20,4.089730448585685,4.07753744390572,2178,57,472,0.026170798898071626,3.5423280423280485,126476461.0,347.0
Ireland,0.22099747393242292,51,3/13/20,4.65283922390262,4.499809670330265,3447,85,5,0.02465912387583406,6.511463844797179,4937786.0,72.0
Spain,0.2286346896883953,0,1/22/20,6.784210416426417,6.306275286948016,104118,9387,22647,0.09015732150060508,15.526455026455027,46754778.0,94.0
US,0.23195069511816874,33,2/24/20,3.285397560921896,3.9318256327243257,213372,4757,8474,0.02229439664060889,6.046357112449082,,
Malaysia,0.2319675791194846,52,3/14/20,4.433811398294756,4.110873864173311,2908,45,645,0.015474552957359009,26.84038800705467,32365999.0,99.0
United Kingdom,0.23397906307256647,41,3/3/20,4.277007291568947,3.9318256327243257,29865,2357,179,0.07892181483341704,16.16543209876545,67886011.0,281.0
Canada,0.23670324575504686,45,3/7/20,3.798211422312783,3.9889840465642745,9560,109,1324,0.011401673640167365,-5.648629148629147,37742154.0,4.0
"Korea, South",0.24359837726774394,44,3/6/20,4.2909347983394825,4.007333185232471,9887,165,5567,0.01668858096490341,4.030864197530863,,
Switzerland,0.24430934054209147,41,3/3/20,4.431183006006383,4.02535169073515,17768,488,2967,0.027465105808194508,-5.21340388007055,8654622.0,219.0
Indonesia,0.25166668814128984,53,3/15/20,3.9290224671394913,3.9318256327243257,1677,157,103,0.0936195587358378,28.91269841269842,273523615.0,151.0
Israel,0.2518281754018733,50,3/12/20,4.488894654571585,3.9512437185814275,6092,26,241,0.004267892317793828,13.19488536155203,8655535.0,400.0
Italy,0.2547414698335133,31,2/22/20,5.023286924514869,4.127134385045092,110574,13155,16847,0.11897010147050843,8.989417989417994,60461826.0,206.0
