Country,slope(log cases),start day,start date,intersecpt(log cases),MSE fit,total cases,total deaths,total recovered,mortality,temp
Japan,0.08759028665841331,30,2/21/20,4.76649762101878,4.653960350157523,3906,92,592,0.023553507424475168,11.95190733590733
Denmark,0.11095332571602305,48,3/10/20,6.087900522212203,5.575949103146316,5266,203,1621,0.03854918344094189,-18.053050699300716
Peru,0.14740465398505168,55,3/17/20,5.000357749445151,4.762173934797756,2954,107,1301,0.036222071767095465,19.935974230044003
Philippines,0.15541864835740982,52,3/14/20,4.688712252754855,4.709530201312334,3764,177,84,0.04702444208289054,26.440472486772517
Pakistan,0.17054330620680702,54,3/16/20,5.41166047741661,4.912654885736052,4035,57,429,0.01412639405204461,20.615513304305733
Serbia,0.17456660773838847,57,3/19/20,4.784911744778915,4.634728988229636,2447,61,0,0.024928483857785042,9.986563171193945
Mexico,0.17506193082401458,57,3/19/20,4.94980532319185,4.770684624465665,2439,125,633,0.05125051250512505,20.56755804195808
Indonesia,0.17881970424377114,53,3/15/20,4.880379246179775,4.762173934797756,2738,221,204,0.08071585098612126,25.684483767961684
India,0.17917758445111473,52,3/14/20,4.48133828500922,4.624972813284271,5311,150,421,0.02824326868762945,23.87378947368426
Romania,0.1861342748947539,52,3/14/20,4.704293699870217,4.812184355372417,4417,197,460,0.04460040751641386,8.760901768793424
Luxembourg,0.19493178230177213,55,3/17/20,5.429898314577823,4.941642422609304,2970,44,500,0.014814814814814815,9.16519646241313
Czechia,0.1996228551291974,51,3/13/20,5.135795891654251,4.948759890378168,5017,88,172,0.01754036276659358,
Sweden,0.20054756759187667,44,3/6/20,4.983414650124753,4.61512051684126,7693,591,205,0.076823085922267,2.386331964624136
Poland,0.20268416690342245,52,3/14/20,4.751954510091586,4.634728988229636,4848,129,191,0.026608910891089108,7.460205938092234
Saudi Arabia,0.20375990031712288,52,3/14/20,4.510391605006958,4.634728988229636,2795,41,615,0.014669051878354204,25.54640783525872
Ecuador,0.20393459724041435,56,3/18/20,5.441232754940888,4.709530201312334,3747,191,100,0.05097411262343208,21.869970347003168
Chile,0.20797714759593372,54,3/16/20,5.102588034174769,5.043425116919247,5116,43,898,0.008405003909304144,9.383473684210513
Russia,0.2095731500720086,55,3/17/20,4.825474049201508,4.736198448394496,7497,58,494,0.007736427904495131,-5.521881912681911
Malaysia,0.2111441891090077,47,3/9/20,4.62449783655669,4.762173934797756,3963,63,1321,0.015897047691143074,25.80544200779728
Belgium,0.21125228529356357,44,3/6/20,4.785159579216937,4.6913478822291435,22194,2035,4157,0.0916914481391367,9.48337839545166
Australia,0.21784911354122855,48,3/10/20,4.6000350903270295,4.672828834461906,5895,45,1080,0.007633587786259542,21.624696891191693
Netherlands,0.21942147935528297,44,3/6/20,5.042691992304926,4.852030263919617,19709,2108,272,0.10695621289766097,9.504604548325991
Norway,0.22414385421663596,44,3/6/20,4.929113295277159,4.68213122712422,6086,89,32,0.01462372658560631,0.09580385344283023
Israel,0.22447726630414494,50,3/12/20,4.542051507778752,4.605170185988092,9248,65,770,0.007028546712802768,19.626577302631585
United Kingdom,0.2299055048006729,43,3/5/20,4.817171299732427,4.7535901911063645,55949,6171,325,0.11029687751344974,8.489325331648798
Ireland,0.23377991022677239,52,3/14/20,4.837261986971559,4.859812404361672,5709,210,25,0.03678402522333158,9.419558433354414
Switzerland,0.24521731439541208,43,3/5/20,4.988625581157168,4.736198448394496,22253,821,8704,0.03689390194580506,6.992051484523055
Canada,0.25092618928118676,49,3/11/20,4.63800174156981,4.68213122712422,17872,375,3791,0.020982542524619518,-5.216658945686897
Portugal,0.2626375641742755,51,3/13/20,4.940171019080614,4.718498871295094,12442,345,184,0.027728660986979584,14.688179987212278
Austria,0.2627339818437578,46,3/8/20,4.739199683940945,4.6443908991413725,12639,243,4046,0.019226204604794683,6.210731838281731
Brazil,0.26494621868459056,51,3/13/20,4.750436054944729,5.017279836814924,14034,686,127,0.048881288299843235,24.699255545286466
Germany,0.2714145697882403,39,3/1/20,4.89904039170954,4.867534450455582,107663,2016,36081,0.0187250959010988,8.152496209728362
Italy,0.27636276178183317,32,2/23/20,5.2724114306897985,5.043425116919247,135586,17127,24392,0.12631835145221484,12.737121920404292
France,0.2789268612737993,38,2/29/20,4.638240524969902,4.605170185988092,110065,10343,19523,0.09397174396947258,12.772445672773216
US,0.286485708319171,41,3/3/20,4.778822066662925,4.770684624465665,396223,12722,21763,0.03210818150385011,
"Korea, South",0.28698028064863207,29,2/20/20,5.295997508759459,4.6443908991413725,10331,192,6694,0.01858484173845707,
China,0.3046321754992038,0,1/22/20,6.379590050357951,6.306275286948016,82718,3335,77410,0.040317705940665874,6.612731031349375
Iran,0.31209285240437673,35,2/26/20,5.448190035328937,4.9344739331306915,62589,3872,27039,0.061863905798143444,17.60707645115617
Turkey,0.325030447555153,57,3/19/20,5.799962881878257,5.2574953720277815,34109,725,1582,0.021255387141223724,11.63156730091614
Spain,0.3317966115714446,40,3/2/20,4.681354740666464,4.787491742782046,141942,14045,43208,0.09894886643840442,13.6128341756159
