Country,slope(log cases),start day,start date,intersecpt(log cases),MSE fit,total cases,total deaths,total recovered,mortality,temp
Denmark,0.15813993847598595,47,3/9/20,5.578450725276723,4.5217885770490405,5266,203,1621,0.03854918344094189,-18.053050699300716
Russia,0.2228877239454084,52,3/14/20,4.076605512796773,4.07753744390572,7497,58,494,0.007736427904495131,-5.521881912681911
Canada,0.23278727571780783,45,3/7/20,3.815815790318936,3.9889840465642745,17872,375,3791,0.020982542524619518,-5.216658945686897
Norway,0.2660506377729597,42,3/4/20,4.205302549523691,4.02535169073515,6086,89,32,0.01462372658560631,0.09580385344283023
Sweden,0.21790334722351176,43,3/5/20,4.675715730760742,4.543294782270004,7693,591,205,0.076823085922267,2.386331964624136
Austria,0.2829048911811426,44,3/6/20,4.083532153641703,4.007333185232471,12639,243,4046,0.019226204604794683,6.210731838281731
China,0.3046321754992038,0,1/22/20,6.379590050357951,6.306275286948016,82718,3335,77410,0.040317705940665874,6.612731031349375
Switzerland,0.2716203284705339,41,3/3/20,4.289041467848564,4.02535169073515,22253,821,8704,0.03689390194580506,6.992051484523055
Poland,0.21706780283832983,51,3/13/20,4.4429729024019595,4.219507705176107,4848,129,191,0.026608910891089108,7.460205938092234
Germany,0.27868837158361837,38,2/29/20,4.561682284880757,4.3694478524670215,107663,2016,36081,0.0187250959010988,8.152496209728362
United Kingdom,0.2423828487973521,41,3/3/20,4.230795827444798,3.9318256327243257,55949,6171,325,0.11029687751344974,8.489325331648798
Romania,0.18566216183004045,51,3/13/20,4.5162688408901115,4.48863636973214,4417,197,460,0.04460040751641386,8.760901768793424
Luxembourg,0.286594006593043,52,3/14/20,4.09624256490134,3.9318256327243257,2970,44,500,0.014814814814814815,9.16519646241313
Chile,0.2453176310441118,52,3/14/20,4.373625636373707,4.110873864173311,5116,43,898,0.008405003909304144,9.383473684210513
Ireland,0.24388784267449248,51,3/13/20,4.545858048616062,4.499809670330265,5709,210,25,0.03678402522333158,9.419558433354414
Belgium,0.23143839640807165,43,3/5/20,4.3981829072944745,3.912023005428146,22194,2035,4157,0.0916914481391367,9.48337839545166
Netherlands,0.234105793783467,43,3/5/20,4.704098315002793,4.406719247264253,19709,2108,272,0.10695621289766097,9.504604548325991
Serbia,0.19980258848845422,54,3/16/20,4.061339183811478,4.007333185232471,2447,61,0,0.024928483857785042,9.986563171193945
Turkey,0.36250025454307583,56,3/18/20,5.193901276621769,4.584967478670572,34109,725,1582,0.021255387141223724,11.63156730091614
Japan,0.11331526220400155,25,2/16/20,4.100618729510864,4.07753744390572,3906,92,592,0.023553507424475168,11.95190733590733
Italy,0.30729784744129457,31,2/22/20,4.746141393201915,4.127134385045092,135586,17127,24392,0.12631835145221484,12.737121920404292
France,0.28972172054512757,37,2/28/20,4.270367620738807,4.04305126783455,110065,10343,19523,0.09397174396947258,12.772445672773216
Spain,0.33056575248696674,39,3/1/20,4.365726341094196,4.430816798843313,141942,14045,43208,0.09894886643840442,13.6128341756159
Portugal,0.29643331541965007,49,3/11/20,4.147453212095458,4.07753744390572,12442,345,184,0.027728660986979584,14.688179987212278
Iran,0.37615658427224036,33,2/24/20,4.374340974852804,4.110873864173311,62589,3872,27039,0.061863905798143444,17.60707645115617
Israel,0.19194636280025612,46,3/8/20,3.9147548638322407,4.110873864173311,9248,65,770,0.007028546712802768,19.626577302631585
Peru,0.1607765647312696,54,3/16/20,4.741860708998943,4.454347296253507,2954,107,1301,0.036222071767095465,19.935974230044003
Mexico,0.20378452403824532,54,3/16/20,4.185164513811344,3.970291913552122,2439,125,633,0.05125051250512505,20.56755804195808
Pakistan,0.2151880270813152,53,3/15/20,4.878213346399244,3.970291913552122,4035,57,429,0.01412639405204461,20.615513304305733
Australia,0.17443766457829957,42,3/4/20,3.7214391939571314,3.9512437185814275,5895,45,1080,0.007633587786259542,21.624696891191693
Ecuador,0.25002555883659133,55,3/17/20,4.880656637829832,4.060443010546419,3747,191,100,0.05097411262343208,21.869970347003168
India,0.16351815819455928,48,3/10/20,3.9189156360192854,4.02535169073515,5311,150,421,0.02824326868762945,23.87378947368426
Brazil,0.2865856200254454,50,3/12/20,4.320486281425941,3.9512437185814275,14034,686,127,0.048881288299843235,24.699255545286466
Saudi Arabia,0.2045694026117602,51,3/13/20,4.322819273621564,4.454347296253507,2795,41,615,0.014669051878354204,25.54640783525872
Indonesia,0.19852941898062007,51,3/13/20,4.380399702424854,4.23410650459726,2738,221,204,0.08071585098612126,25.684483767961684
Malaysia,0.18931600874083343,42,3/4/20,3.816976080243885,3.912023005428146,3963,63,1321,0.015897047691143074,25.80544200779728
Philippines,0.17719645445039997,50,3/12/20,4.1800666147288315,3.9512437185814275,3764,177,84,0.04702444208289054,26.440472486772517
US,0.1808639501649401,33,2/24/20,3.5486222169060144,3.9318256327243257,396223,12722,21763,0.03210818150385011,
Czechia,0.22582068739721972,49,3/11/20,4.542690065232201,4.51085950651685,5017,88,172,0.01754036276659358,
"Korea, South",0.28698028064863207,29,2/20/20,5.295997508759459,4.6443908991413725,10331,192,6694,0.01858484173845707,
