Country,slope(log cases),start day,start date,intersecpt(log cases),MSE fit,total cases,exp MSE,pred_day 0,pred_day 1,pred_day 2,pred_day 3,pred_day 4,pred_day 5,pred_day 6,pred_day 7,pred_day 8,pred_day 9,pred_day 10,pred_day 11,pred_day 12,pred_day 13,pred_day 14,pred_day 15,pred_day 16,pred_day 17,pred_day 18,pred_day 19,pred_day 20,pred_day 21,pred_day 22,pred_day 23,pred_day 24,pred_day 25,pred_day 26,pred_day 27,pred_day 28,pred_day 29,pred_day 30,pred_day 31,pred_day 32,pred_day 33,pred_day 34,pred_day 35,pred_day 36,pred_day 37,pred_day 38,pred_day 39,pred_day 40,pred_day 41,pred_day 42,pred_day 43,pred_day 44,pred_day 45,pred_day 46,pred_day 47,pred_day 48,pred_day 49,pred_day 50,pred_day 51,pred_day 52,pred_day 53,pred_day 54,pred_day 55,pred_day 56,pred_day 57,pred_day 58,pred_day 59,pred_day 60,pred_day 61,pred_day 62,pred_day 63,pred_day 64,temp,Population,Population Density
Diamond Princess,0.034323565490082655,16,2/7/20,5.372458834660665,4.110873864173311,712,61.00000000000001,215.39183001967126,222.9131871003333,230.69718558354833,238.75299675391219,247.09011215193038,255.71835475716645,264.64789056190153,273.8892405489376,283.45329308766094,293.3513167629654,303.59497365215725,314.1963330654807,325.1678857664549,336.5225586887754,348.27373016712335,360.4352456998238,373.02143426192913,386.0471251879426,399.52766564407955,413.47893871064866,427.917382095859,442.86000750310455,458.3244206745387,474.32884213456316,490.8921286576644,508.0337954858973,525.7740393221862,544.1337621265426,563.1345957432302,582.7989273878997,603.1499260247137,624.2115696645512,646.008673616446,668.56691972555,691.9128866320706,716.0740810868284,741.0789703603397,766.9570157836058,793.7387074601221,821.4556001900157,850.1403506486306,879.8267558633662,910.5497930341097,942.3456607441663,975.2518216102584,1009.3070464218354,1044.5514598217003,1081.0265875817843,1118.775405529752,1157.8423901841052,1198.2735711574342,1240.1165853895527,1283.4207332744297,1328.2370367470382,1374.6182993985615,1422.6191686907937,1472.2962003430196,1523.7079249672563,1576.914917030357,1631.9798662242254,1688.967651328249,1747.9454166509481,1808.9826511409346,1872.1512702603834,1937.5257007174594,,,
Qatar,0.044319028367405915,49,3/11/20,5.708483245894463,5.568344503761097,537,261.99999999999994,301.4135511588291,315.07234346840846,329.3500947021601,344.2748534709077,359.8759394303512,376.18400087946543,393.23107496901645,411.0506506384732,429.67773440495495,449.1489191334587,469.50245592345937,490.77832925311185,513.0183355286699,536.2661651934343,560.567488557532,585.9700455171397,612.5237393394056,640.2807346973058,669.2955601470314,699.6252152492158,731.3292825444458,764.4700446030314,799.1126063789796,835.3250231085299,873.1784340045177,912.747202009201,954.1090598800964,997.3452628958098,1042.540748481852,1089.7843030700244,1139.1687365191679,1190.7910644399258,1244.7526987816982,1301.1596470561922,1360.1227205889447,1421.757752207928,1486.1858237968838,1553.5335041604187,1623.933097668138,1697.5229041662963,1774.4474906675302,1854.8579753524425,1938.9123244409332,2026.7756625164902,2118.62059691307,2214.6275568018245,2314.985147643809,2419.8905217049937,2529.5497653614643,2644.1783039556403,2764.001324998893,2889.254220551914,3020.1830496519,3157.045021694987,3300.1090017235447,3449.6560386109563,3605.9799171815134,3769.3877353500557,3940.2005074151443,4118.753794690949,4305.398364716703,4500.50088033877,4704.444620018988,4917.630230784369,5140.476515297297,67.16507936507936,2881053.0,248.0
Singapore,0.053634069826763324,21,2/12/20,3.858739581094599,3.912023005428146,631,49.99999999999999,47.405562829854446,50.01753534882666,52.773423476698035,55.681156738888326,58.749101565291014,61.98608536302815,65.40142191557581,69.00493818134217,72.80700256880547,76.81855476956741,81.05113723516169,85.51692838818573,90.2287776633131,95.20024247901209,100.44562724634734,105.98002452710607,111.81935845967304,117.98043057760243,124.48096815272302,131.33967520187144,138.5762863040178,146.21162338263116,154.26765561666332,162.76756265253627,171.73580129900952,181.1981758968319,191.18191256565078,201.71573754181057,212.82995983244027,224.5565584236547,236.9292742937886,249.9837074964183,263.75741959250655,278.2900417263963,293.6233886566265,309.8015790696643,326.87116252273853,344.88125338102526,363.8836721345606,383.9330945014987,405.0872087467227,427.4068816684682,450.95633373054943,475.80332384409905,502.0193443304916,529.6798266264199,558.8643583230016,589.6569121634005,622.1460876578608,656.4253660113504,692.5933790973202,730.7541932514989,771.0176087022816,813.4994754992672,858.3220268489637,905.6142308167681,955.5121614071818,1008.1593900899626,1063.7073988987609,1122.3160162908366,1184.153877021981,1249.398907359813,1318.238837031581,1390.8717393794873,1467.506601277728,83.8031746031746,5850342.0,8358.0
Japan,0.07830039788251583,25,2/16/20,4.380995180351161,4.07753744390572,1307,59.000000000000014,79.91752619547543,86.42660686535379,93.46583571653788,101.07839197945918,109.31097172381486,118.21407429624392,127.84231208762853,138.25474553015982,149.51524537906863,161.69288450128803,174.86236157431327,189.1044592942635,204.50653990383296,221.16308107974226,239.17625546686907,258.6565574139712,279.72348075544795,302.5062517967203,327.14462199941113,353.7897252287402,382.60500482154526,413.76721616166094,447.46751091252287,483.9126095577833,523.3260694423974,565.9496560924529,612.0448262255376,661.8943315485546,715.8039531808203,774.1043773415419,837.153223807304,905.337239582294,979.0746712374267,1058.8178304704993,1145.0558686247416,1238.317777184895,1339.175632656118,1448.2481057300852,1566.2042562638007,1693.767637349852,1831.720733652821,1980.909761236984,2142.2498583278666,2316.7306988481887,2505.422563162183,2709.482903266644,2930.163442700277,3168.8178547226576,3426.910065861554,3706.023235763122,4007.869468428314,4334.3003144048635,4687.318128356393,5069.088351676718,5481.9527954922,5928.444005530987,6411.300796974604,6933.485054583985,7498.199901153369,8108.909345738818,8769.359532185323,9483.60171829283,10256.017126577317,11091.343819063528,11994.705760961693,38.37619047619049,126476461.0,347.0
United Arab Emirates,0.0982750667141289,48,3/10/20,4.097128750848445,4.30406509320417,333,74.00000000000003,60.16728408474232,66.38053179028223,73.23539807039546,80.79814044687205,89.14185860500527,98.34720095791968,108.50314417512438,119.70785321002865,132.06963013924408,145.70796098493122,160.754670638527,177.355197049074,195.66999699215785,215.87609700727927,238.1688044946615,262.763595510547,289.8981975079693,319.8348871542837,352.86302543561425,389.3018545519458,429.5035836369838,473.8567931286249,522.7901906958846,576.776755026178,636.3383075258349,702.0505561228211,774.5486599238749,854.5333685127316,942.7777952304305,1040.1348899066531,1147.5456832717364,1266.048382737915,1396.7884074674628,1541.0294597243444,1700.1657395224504,1875.735420634319,2069.4355182162813,2283.1382917569745,2518.909341896275,2779.0275760342333,3066.007235712864,3382.6221986822975,3731.9327905492887,4117.315365163288,4542.494939656867,5011.581199583412,5529.10822216902,6100.078301634258,6730.010300191176,7424.992992064525,8191.743916148427,9037.674306153975,9970.960725847413,11000.624101788482,12136.616917480107,13389.91941172835,14772.645711042635,16298.160921927209,17981.210314850792,19838.061848555113,21886.663412310103,24146.81630598122,26640.366634726644,29391.41646830115,32426.55680598093,71.1269841269841,9890402.0,118.0
Estonia,0.11338829118795636,51,3/13/20,4.786906151118896,4.3694478524670215,404,79.0,119.92974957146217,134.3293260992356,150.4578131343696,168.52279536080897,188.75678148304567,211.42019677252517,236.80473491940808,265.23711233031315,297.0832731924284,332.7530994260499,372.7056861458625,417.45525052976666,467.5777501464476,523.7182959240903,586.5994551702406,657.0305515083597,735.9180814276341,824.2773815141832,923.2456965289134,1034.0968165271581,1158.2574714098484,1297.3256939153357,1453.0913873961636,1627.5593631021552,1822.9751434754714,2041.853863563705,2287.0126425320195,2561.6068419179055,2869.1706772970974,3213.662706060694,3599.5167767622966,4031.699095788222,4515.772145837956,5057.966278889447,5665.25990509991,6345.469309728102,7107.349254083555,7960.705655305814,8916.521795239885,9987.099682802393,11186.218389269157,12529.31139436784,14033.665225741423,15718.641948408618,17605.92836781292,19719.815153874795,22087.50947856415,24739.485190853862,27709.875036045254,31036.909967597538,34763.411205705524,38937.34137575675,43612.421820197735,48848.8240290365,54713.944088165066,61283.270113184335,68641.35383319743,76882.89882952164,86113.97943569839,96453.40598687758,108034.25399027353,121005.57689816385,135534.32452799383,151807.49182096848,170034.52559512667,34.3936507936508,1326535.0,31.0
Denmark,0.12126086798569174,47,3/9/20,5.757916428395793,4.5217885770490405,1862,92.00000000000001,316.6877993203928,357.5149918077865,403.6056003471397,455.638181235082,514.3787698204686,580.6921582489338,655.5546271271993,740.0683185455612,835.4774620614218,943.1866925264437,1064.7817294364927,1202.052722250407,1357.0206053726183,1531.9668508036143,1729.4670564834291,1952.4288648233196,2204.134769670764,2488.290441921541,2809.0792852394175,3171.2240250649975,3580.0562376409903,4041.5948426757536,4562.6347152318895,5150.846721403867,5814.890650532509,6564.542706569735,7410.8394355501005,8366.24020810171,9444.810649100527,10662.429714960708,12037.023467199318,13588.828983942432,15340.692294737075,17318.404724932287,19551.08260136688,22071.595909476313,24917.052212604987,28129.342957892804,31755.760211574005,35849.692903403986,40471.41283048101,45688.96199218769,51579.1543197963,58228.70654842785,65735.51488031265,74210.09623468085,83777.21530268146,94577.7213612052,106770.62188758902,120535.42350343293,136074.77471141997,153617.44933211608,173421.71456356414,195779.13324901665,221018.85633063104,249512.46868361367,281679.4596722517,317993.3989666081,358988.9085416253,405269.5335019836,457516.627608764,516499.3843226359,583086.1610428425,658257.2632599737,743119.3768336978,42.86904761904761,5792202.0,137.0
Slovenia,0.12281678510235709,49,3/11/20,4.641660233176649,4.04305126783455,528,57.00000000000001,103.71639812688397,117.2697713009765,132.59426194264148,149.92131480320717,169.512619196488,191.66406127488702,216.71019277805325,245.029283745301,277.04903550256773,313.2530402067711,354.1880845056233,400.4724076195925,452.8050385672606,511.97635355357164,578.8800129684859,654.5264582797382,740.0581726623556,836.766935845195,946.1133337732994,1069.7488177391708,1209.5406461405576,1367.6000855584293,1546.3142970741285,1748.3823894026054,1976.8561833497824,2235.1863032568963,2527.2742915478125,2857.531533461803,3230.945881908077,3653.156988672755,4130.541479700428,4670.3092608468605,5280.612408602156,5970.66829035358,6750.898773665239,7633.087627042835,8630.558489396686,9758.376096064105,11033.57380049363,12475.410827836544,14105.663145728773,15948.952345265177,18033.117499233922,20389.635613759758,23054.097023410483,26066.74290962576,29473.073060573293,33324.53305138941,37679.29122323907,42603.11719586024,48170.37518170646,54465.14710364505,61582.50247858266,69629.9342459838,78728.98222650486,89017.06872973015,100649.57403406878,113802.18308464854,128673.53885122371,145488.24241958532,164500.24512665186,185996.6839704271,210302.21822076786,237783.93272649686,268856.8819731803,41.992063492063494,2078938.0,103.0
Egypt,0.13851318822597453,47,3/9/20,3.958965728290566,4.007333185232471,456,55.000000000000014,52.40309886851899,60.18835629113764,69.13022915149048,79.40054982430641,91.1966789316833,104.74529794279256,120.30676522051154,138.1801192233775,158.70882500738594,182.28737445584454,209.36886707124742,240.4737170061986,276.19965365289346,317.2332079684699,364.36290526431736,418.494417979876,480.6679696256848,552.0783243402508,634.097746192016,728.302369426097,836.5024864022231,960.7773352549917,1103.5150557769214,1267.4585813404422,1455.758348745423,1672.032838896193,1920.4381116938828,2205.7476713681567,2533.444196988305,2909.8249009020196,3342.1225397326357,3838.64440335444,4408.931952741372,5063.944174385402,5816.268174732717,6680.361061546347,7672.827760331986,8812.740104513692,10122.003331186925,11625.777025250547,13352.958601031647,15336.738612275467,17615.23856166891,20232.243466426855,23238.043257359706,26690.399180249166,30655.653770479526,35210.005730859986,40440.97421145303,46449.080629884455,53349.7803510008,61275.68134618451,70379.09246741074,80834.9503052043,92844.18087474733,106637.5607303098,122480.15170548463,140676.3944998475,161575.95899344864,185580.4637122748,213151.1935699504,244817.96419441415,281189.30318177195,322964.14392639016,370945.25674285204,62.91428571428571,102334404.0,103.0
Greece,0.14435052628089642,46,3/8/20,4.379426753644396,4.290459441148391,821,72.99999999999999,79.79227965873359,92.18314271247489,106.49817045825438,123.03616450061148,142.14232704547115,164.21546640297996,189.7163214256484,219.17717864014054,253.2129828138106,292.53417286996995,337.96151107955745,390.4432150631072,451.07475020411283,521.1216956064044,602.0461608831112,695.5373051822673,803.5465954813006,928.3285401066788,1072.487747720977,1239.0332940528076,1431.441531181724,1653.7286504139292,1910.5345133741903,2207.2195011438635,2549.97640300445,2945.9596802718215,3403.434803381633,3931.9507793808557,4542.539471040416,5247.945868032809,6062.894116689898,7004.394861254917,8092.100311849096,9348.714450586582,10800.466938185436,12477.660613060816,14415.304011002972,16653.842108201407,19240.000540620204,22227.760921353205,25679.487614032627,29667.229481749764,34274.22378325973,39596.633607719086,45745.555113920454,52849.33647169403,61056.256909392985,70537.62178797524,81491.3383060338,94146.0464724728,108765.89157378873,125656.03775300481,145169.03778674707,167712.19201861246,193756.05005391705,223844.23267409074,258604.778986304,298763.25566057686,345157.90188716695,398757.1261791931,460679.72023618734,532218.2117982294,614865.8439413861,710347.7439608555,820656.9324387138,49.57936507936507,10423054.0,81.0
