Id,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities,country+province,Lat,Long,day_from_jan_first,temp,min,max,stp,wdsp,prcp,fog
0,1,,Afghanistan,2020-01-22,0.0,0.0,Afghanistan-,33.0,65.0,22,42.6,33.6,54.9,999.9,9.4,0.0,0
1,2,,Afghanistan,2020-01-23,0.0,0.0,Afghanistan-,33.0,65.0,23,42.0,32.7,55.9,999.9,14.9,99.99,1
2,3,,Afghanistan,2020-01-24,0.0,0.0,Afghanistan-,33.0,65.0,24,40.1,36.9,43.2,999.9,10.4,0.17,1
3,4,,Afghanistan,2020-01-25,0.0,0.0,Afghanistan-,33.0,65.0,25,46.0,37.9,56.3,999.9,6.1,0.57,1
4,5,,Afghanistan,2020-01-26,0.0,0.0,Afghanistan-,33.0,65.0,26,42.8,36.1,53.1,999.9,10.8,0.0,1
5,6,,Afghanistan,2020-01-27,0.0,0.0,Afghanistan-,33.0,65.0,27,43.0,36.5,50.7,999.9,3.7,0.04,0
6,7,,Afghanistan,2020-01-28,0.0,0.0,Afghanistan-,33.0,65.0,28,41.7,34.7,48.2,999.9,2.4,0.0,0
7,8,,Afghanistan,2020-01-29,0.0,0.0,Afghanistan-,33.0,65.0,29,15.2,13.3,16.9,774.1,2.4,0.0,0
8,9,,Afghanistan,2020-01-30,0.0,0.0,Afghanistan-,33.0,65.0,30,15.2,13.3,16.9,774.1,2.4,0.0,0
9,10,,Afghanistan,2020-01-31,0.0,0.0,Afghanistan-,33.0,65.0,31,5.6,4.8,7.7,774.4,1.9,0.0,1
10,11,,Afghanistan,2020-02-01,0.0,0.0,Afghanistan-,33.0,65.0,32,5.6,4.8,7.7,774.4,1.9,0.0,1
11,12,,Afghanistan,2020-02-02,0.0,0.0,Afghanistan-,33.0,65.0,33,20.5,3.9,36.0,773.4,4.5,1.73,1
12,13,,Afghanistan,2020-02-03,0.0,0.0,Afghanistan-,33.0,65.0,34,20.5,3.9,36.0,773.4,4.5,1.73,1
13,14,,Afghanistan,2020-02-04,0.0,0.0,Afghanistan-,33.0,65.0,35,4.2,-0.6,12.9,775.4,3.3,0.0,1
14,15,,Afghanistan,2020-02-05,0.0,0.0,Afghanistan-,33.0,65.0,36,4.2,-0.6,12.9,775.4,3.3,0.0,1
15,16,,Afghanistan,2020-02-06,0.0,0.0,Afghanistan-,33.0,65.0,37,43.1,29.1,58.1,999.9,1.7,0.0,0
16,17,,Afghanistan,2020-02-07,0.0,0.0,Afghanistan-,33.0,65.0,38,44.5,31.6,60.3,999.9,5.7,0.0,0
17,18,,Afghanistan,2020-02-08,0.0,0.0,Afghanistan-,33.0,65.0,39,47.8,34.5,63.5,999.9,7.7,0.0,0
18,19,,Afghanistan,2020-02-09,0.0,0.0,Afghanistan-,33.0,65.0,40,36.9,31.1,42.1,773.3,4.3,0.08,1
19,20,,Afghanistan,2020-02-10,0.0,0.0,Afghanistan-,33.0,65.0,41,36.9,31.1,42.1,773.3,4.3,0.08,1
20,21,,Afghanistan,2020-02-11,0.0,0.0,Afghanistan-,33.0,65.0,42,39.5,32.7,47.7,771.4,6.7,0.12,1
21,22,,Afghanistan,2020-02-12,0.0,0.0,Afghanistan-,33.0,65.0,43,39.0,30.0,46.0,772.2,10.1,0.04,1
22,23,,Afghanistan,2020-02-13,0.0,0.0,Afghanistan-,33.0,65.0,44,23.1,13.6,37.8,780.1,5.6,1.81,1
23,24,,Afghanistan,2020-02-14,0.0,0.0,Afghanistan-,33.0,65.0,45,24.2,11.3,35.1,779.8,7.2,0.0,0
24,25,,Afghanistan,2020-02-15,0.0,0.0,Afghanistan-,33.0,65.0,46,26.3,19.6,35.8,780.7,5.6,0.0,0
25,26,,Afghanistan,2020-02-16,0.0,0.0,Afghanistan-,33.0,65.0,47,24.2,17.4,33.1,783.2,4.7,0.0,0
26,27,,Afghanistan,2020-02-17,0.0,0.0,Afghanistan-,33.0,65.0,48,32.9,28.2,41.4,782.4,5.9,0.0,0
