,ConfirmedForeignNational,ConfirmedIndianNational,Cured,Date,Deaths,State/UnionTerritory
0,0.0,1.0,0.0,30/01/20,0.0,Kerala
1,0.0,1.0,0.0,31/01/20,0.0,Kerala
2,0.0,2.0,0.0,01/02/20,0.0,Kerala
3,0.0,3.0,0.0,02/02/20,0.0,Kerala
4,0.0,3.0,0.0,03/02/20,0.0,Kerala
5,0.0,3.0,0.0,04/02/20,0.0,Kerala
6,0.0,3.0,0.0,05/02/20,0.0,Kerala
7,0.0,3.0,0.0,06/02/20,0.0,Kerala
8,0.0,3.0,0.0,07/02/20,0.0,Kerala
9,0.0,3.0,0.0,08/02/20,0.0,Kerala
10,0.0,3.0,0.0,09/02/20,0.0,Kerala
11,0.0,3.0,0.0,10/02/20,0.0,Kerala
12,0.0,3.0,0.0,11/02/20,0.0,Kerala
13,0.0,3.0,0.0,12/02/20,0.0,Kerala
14,0.0,3.0,0.0,13/02/20,0.0,Kerala
15,0.0,3.0,0.0,14/02/20,0.0,Kerala
16,0.0,3.0,0.0,15/02/20,0.0,Kerala
17,0.0,3.0,0.0,16/02/20,0.0,Kerala
18,0.0,3.0,0.0,17/02/20,0.0,Kerala
19,0.0,3.0,0.0,18/02/20,0.0,Kerala
20,0.0,3.0,0.0,19/02/20,0.0,Kerala
21,0.0,3.0,0.0,20/02/20,0.0,Kerala
22,0.0,3.0,0.0,21/02/20,0.0,Kerala
23,0.0,3.0,0.0,22/02/20,0.0,Kerala
24,0.0,3.0,0.0,23/02/20,0.0,Kerala
25,0.0,3.0,0.0,24/02/20,0.0,Kerala
26,0.0,3.0,0.0,25/02/20,0.0,Kerala
27,0.0,3.0,0.0,26/02/20,0.0,Kerala
28,0.0,3.0,0.0,27/02/20,0.0,Kerala
29,0.0,3.0,0.0,28/02/20,0.0,Kerala
30,0.0,3.0,0.0,29/02/20,0.0,Kerala
31,0.0,3.0,0.0,01/03/20,0.0,Kerala
32,0.0,1.0,0.0,02/03/20,0.0,Telengana
33,0.0,3.0,0.0,02/03/20,0.0,Kerala
34,0.0,1.0,0.0,02/03/20,0.0,Delhi
35,0.0,1.0,0.0,03/03/20,0.0,Telengana
36,1.0,0.0,0.0,03/03/20,0.0,Rajasthan
37,0.0,3.0,3.0,03/03/20,0.0,Kerala
38,0.0,1.0,0.0,03/03/20,0.0,Delhi
