Confirmed,Cured,Date,Deaths,State/UnionTerritory
0.0,0.0,30/01/20,0.0,Andhra Pradesh
0.0,0.0,31/01/20,0.0,Andhra Pradesh
0.0,0.0,01/02/20,0.0,Andhra Pradesh
0.0,0.0,02/02/20,0.0,Andhra Pradesh
0.0,0.0,03/02/20,0.0,Andhra Pradesh
0.0,0.0,04/02/20,0.0,Andhra Pradesh
0.0,0.0,05/02/20,0.0,Andhra Pradesh
0.0,0.0,06/02/20,0.0,Andhra Pradesh
0.0,0.0,07/02/20,0.0,Andhra Pradesh
0.0,0.0,08/02/20,0.0,Andhra Pradesh
0.0,0.0,09/02/20,0.0,Andhra Pradesh
0.0,0.0,10/02/20,0.0,Andhra Pradesh
0.0,0.0,11/02/20,0.0,Andhra Pradesh
0.0,0.0,12/02/20,0.0,Andhra Pradesh
0.0,0.0,13/02/20,0.0,Andhra Pradesh
0.0,0.0,14/02/20,0.0,Andhra Pradesh
0.0,0.0,15/02/20,0.0,Andhra Pradesh
0.0,0.0,16/02/20,0.0,Andhra Pradesh
0.0,0.0,17/02/20,0.0,Andhra Pradesh
0.0,0.0,18/02/20,0.0,Andhra Pradesh
0.0,0.0,19/02/20,0.0,Andhra Pradesh
0.0,0.0,20/02/20,0.0,Andhra Pradesh
0.0,0.0,21/02/20,0.0,Andhra Pradesh
0.0,0.0,22/02/20,0.0,Andhra Pradesh
0.0,0.0,23/02/20,0.0,Andhra Pradesh
0.0,0.0,24/02/20,0.0,Andhra Pradesh
0.0,0.0,25/02/20,0.0,Andhra Pradesh
0.0,0.0,26/02/20,0.0,Andhra Pradesh
0.0,0.0,27/02/20,0.0,Andhra Pradesh
0.0,0.0,28/02/20,0.0,Andhra Pradesh
0.0,0.0,29/02/20,0.0,Andhra Pradesh
0.0,0.0,01/03/20,0.0,Andhra Pradesh
0.0,0.0,02/03/20,0.0,Andhra Pradesh
0.0,0.0,03/03/20,0.0,Andhra Pradesh
0.0,0.0,04/03/20,0.0,Andhra Pradesh
0.0,0.0,05/03/20,0.0,Andhra Pradesh
0.0,0.0,06/03/20,0.0,Andhra Pradesh
0.0,0.0,07/03/20,0.0,Andhra Pradesh
0.0,0.0,08/03/20,0.0,Andhra Pradesh
0.0,0.0,09/03/20,0.0,Andhra Pradesh
0.0,0.0,10/03/20,0.0,Andhra Pradesh
0.0,0.0,11/03/20,0.0,Andhra Pradesh
1.0,0.0,12/03/20,0.0,Andhra Pradesh
1.0,0.0,13/03/20,0.0,Andhra Pradesh
1.0,0.0,14/03/20,0.0,Andhra Pradesh
1.0,0.0,15/03/20,0.0,Andhra Pradesh
1.0,0.0,16/03/20,0.0,Andhra Pradesh
1.0,0.0,17/03/20,0.0,Andhra Pradesh
1.0,0.0,18/03/20,0.0,Andhra Pradesh
2.0,0.0,19/03/20,0.0,Andhra Pradesh
3.0,0.0,20/03/20,0.0,Andhra Pradesh
3.0,0.0,21/03/20,0.0,Andhra Pradesh
5.0,0.0,22/03/20,0.0,Andhra Pradesh
7.0,0.0,23/03/20,0.0,Andhra Pradesh
8.0,0.0,24/03/20,0.0,Andhra Pradesh
9.0,1.0,25/03/20,0.0,Andhra Pradesh
11.0,1.0,26/03/20,0.0,Andhra Pradesh
12.0,1.0,27/03/20,0.0,Andhra Pradesh
14.0,1.0,28/03/20,0.0,Andhra Pradesh
19.0,1.0,29/03/20,0.0,Andhra Pradesh
23.0,1.0,30/03/20,0.0,Andhra Pradesh
40.0,1.0,31/03/20,0.0,Andhra Pradesh
83.0,1.0,01/04/20,0.0,Andhra Pradesh
86.0,1.0,02/04/20,1.0,Andhra Pradesh
132.0,1.0,03/04/20,1.0,Andhra Pradesh
161.0,1.0,04/04/20,1.0,Andhra Pradesh
190.0,1.0,05/04/20,1.0,Andhra Pradesh
226.0,1.0,06/04/20,3.0,Andhra Pradesh
266.0,1.0,07/04/20,3.0,Andhra Pradesh
305.0,5.0,08/04/20,4.0,Andhra Pradesh
348.0,6.0,09/04/20,4.0,Andhra Pradesh
