Confirmed,Cured,Date,Deaths,State/UnionTerritory
0.0,0.0,30/01/20,0.0,Gujarat
0.0,0.0,31/01/20,0.0,Gujarat
0.0,0.0,01/02/20,0.0,Gujarat
0.0,0.0,02/02/20,0.0,Gujarat
0.0,0.0,03/02/20,0.0,Gujarat
0.0,0.0,04/02/20,0.0,Gujarat
0.0,0.0,05/02/20,0.0,Gujarat
0.0,0.0,06/02/20,0.0,Gujarat
0.0,0.0,07/02/20,0.0,Gujarat
0.0,0.0,08/02/20,0.0,Gujarat
0.0,0.0,09/02/20,0.0,Gujarat
0.0,0.0,10/02/20,0.0,Gujarat
0.0,0.0,11/02/20,0.0,Gujarat
0.0,0.0,12/02/20,0.0,Gujarat
0.0,0.0,13/02/20,0.0,Gujarat
0.0,0.0,14/02/20,0.0,Gujarat
0.0,0.0,15/02/20,0.0,Gujarat
0.0,0.0,16/02/20,0.0,Gujarat
0.0,0.0,17/02/20,0.0,Gujarat
0.0,0.0,18/02/20,0.0,Gujarat
0.0,0.0,19/02/20,0.0,Gujarat
0.0,0.0,20/02/20,0.0,Gujarat
0.0,0.0,21/02/20,0.0,Gujarat
0.0,0.0,22/02/20,0.0,Gujarat
0.0,0.0,23/02/20,0.0,Gujarat
0.0,0.0,24/02/20,0.0,Gujarat
0.0,0.0,25/02/20,0.0,Gujarat
0.0,0.0,26/02/20,0.0,Gujarat
0.0,0.0,27/02/20,0.0,Gujarat
0.0,0.0,28/02/20,0.0,Gujarat
0.0,0.0,29/02/20,0.0,Gujarat
0.0,0.0,01/03/20,0.0,Gujarat
0.0,0.0,02/03/20,0.0,Gujarat
0.0,0.0,03/03/20,0.0,Gujarat
0.0,0.0,04/03/20,0.0,Gujarat
0.0,0.0,05/03/20,0.0,Gujarat
0.0,0.0,06/03/20,0.0,Gujarat
0.0,0.0,07/03/20,0.0,Gujarat
0.0,0.0,08/03/20,0.0,Gujarat
0.0,0.0,09/03/20,0.0,Gujarat
0.0,0.0,10/03/20,0.0,Gujarat
0.0,0.0,11/03/20,0.0,Gujarat
0.0,0.0,12/03/20,0.0,Gujarat
0.0,0.0,13/03/20,0.0,Gujarat
0.0,0.0,14/03/20,0.0,Gujarat
0.0,0.0,15/03/20,0.0,Gujarat
0.0,0.0,16/03/20,0.0,Gujarat
0.0,0.0,17/03/20,0.0,Gujarat
0.0,0.0,18/03/20,0.0,Gujarat
0.0,0.0,19/03/20,0.0,Gujarat
5.0,0.0,20/03/20,0.0,Gujarat
7.0,0.0,21/03/20,0.0,Gujarat
18.0,0.0,22/03/20,1.0,Gujarat
29.0,0.0,23/03/20,1.0,Gujarat
33.0,0.0,24/03/20,1.0,Gujarat
38.0,0.0,25/03/20,1.0,Gujarat
43.0,0.0,26/03/20,3.0,Gujarat
43.0,0.0,27/03/20,3.0,Gujarat
45.0,0.0,28/03/20,3.0,Gujarat
58.0,1.0,29/03/20,5.0,Gujarat
69.0,1.0,30/03/20,6.0,Gujarat
73.0,3.0,31/03/20,6.0,Gujarat
82.0,5.0,01/04/20,6.0,Gujarat
87.0,8.0,02/04/20,7.0,Gujarat
95.0,10.0,03/04/20,8.0,Gujarat
105.0,14.0,04/04/20,10.0,Gujarat
122.0,18.0,05/04/20,11.0,Gujarat
144.0,22.0,06/04/20,12.0,Gujarat
165.0,25.0,07/04/20,13.0,Gujarat
165.0,25.0,08/04/20,13.0,Gujarat
179.0,25.0,09/04/20,16.0,Gujarat
