Confirmed,Cured,Date,Deaths,State/UnionTerritory
0.0,0.0,30/01/20,0.0,Haryana
0.0,0.0,31/01/20,0.0,Haryana
0.0,0.0,01/02/20,0.0,Haryana
0.0,0.0,02/02/20,0.0,Haryana
0.0,0.0,03/02/20,0.0,Haryana
0.0,0.0,04/02/20,0.0,Haryana
0.0,0.0,05/02/20,0.0,Haryana
0.0,0.0,06/02/20,0.0,Haryana
0.0,0.0,07/02/20,0.0,Haryana
0.0,0.0,08/02/20,0.0,Haryana
0.0,0.0,09/02/20,0.0,Haryana
0.0,0.0,10/02/20,0.0,Haryana
0.0,0.0,11/02/20,0.0,Haryana
0.0,0.0,12/02/20,0.0,Haryana
0.0,0.0,13/02/20,0.0,Haryana
0.0,0.0,14/02/20,0.0,Haryana
0.0,0.0,15/02/20,0.0,Haryana
0.0,0.0,16/02/20,0.0,Haryana
0.0,0.0,17/02/20,0.0,Haryana
0.0,0.0,18/02/20,0.0,Haryana
0.0,0.0,19/02/20,0.0,Haryana
0.0,0.0,20/02/20,0.0,Haryana
0.0,0.0,21/02/20,0.0,Haryana
0.0,0.0,22/02/20,0.0,Haryana
0.0,0.0,23/02/20,0.0,Haryana
0.0,0.0,24/02/20,0.0,Haryana
0.0,0.0,25/02/20,0.0,Haryana
0.0,0.0,26/02/20,0.0,Haryana
0.0,0.0,27/02/20,0.0,Haryana
0.0,0.0,28/02/20,0.0,Haryana
0.0,0.0,29/02/20,0.0,Haryana
0.0,0.0,01/03/20,0.0,Haryana
0.0,0.0,02/03/20,0.0,Haryana
0.0,0.0,03/03/20,0.0,Haryana
2.0,0.0,04/03/20,0.0,Haryana
2.0,0.0,05/03/20,0.0,Haryana
2.0,0.0,06/03/20,0.0,Haryana
2.0,0.0,07/03/20,0.0,Haryana
2.0,0.0,08/03/20,0.0,Haryana
2.0,0.0,09/03/20,0.0,Haryana
2.0,0.0,10/03/20,0.0,Haryana
14.0,0.0,11/03/20,0.0,Haryana
14.0,0.0,12/03/20,0.0,Haryana
14.0,0.0,13/03/20,0.0,Haryana
14.0,0.0,14/03/20,0.0,Haryana
14.0,0.0,15/03/20,0.0,Haryana
14.0,0.0,16/03/20,0.0,Haryana
15.0,0.0,17/03/20,0.0,Haryana
17.0,0.0,18/03/20,0.0,Haryana
17.0,0.0,19/03/20,0.0,Haryana
17.0,0.0,20/03/20,0.0,Haryana
17.0,0.0,21/03/20,0.0,Haryana
21.0,0.0,22/03/20,0.0,Haryana
26.0,0.0,23/03/20,0.0,Haryana
28.0,11.0,24/03/20,0.0,Haryana
28.0,11.0,25/03/20,0.0,Haryana
30.0,11.0,26/03/20,0.0,Haryana
30.0,11.0,27/03/20,0.0,Haryana
33.0,12.0,28/03/20,0.0,Haryana
33.0,17.0,29/03/20,0.0,Haryana
36.0,18.0,30/03/20,0.0,Haryana
40.0,21.0,31/03/20,0.0,Haryana
43.0,21.0,01/04/20,0.0,Haryana
43.0,21.0,02/04/20,0.0,Haryana
49.0,24.0,03/04/20,0.0,Haryana
49.0,24.0,04/04/20,0.0,Haryana
59.0,25.0,05/04/20,1.0,Haryana
84.0,25.0,06/04/20,1.0,Haryana
90.0,25.0,07/04/20,1.0,Haryana
147.0,28.0,08/04/20,3.0,Haryana
169.0,29.0,09/04/20,3.0,Haryana
