Date,State/UnionTerritory,Cured,Deaths,Confirmed
30/01/20,Kerala,0.0,0.0,1.0
31/01/20,Kerala,0.0,0.0,1.0
01/02/20,Kerala,0.0,0.0,2.0
02/02/20,Kerala,0.0,0.0,3.0
03/02/20,Kerala,0.0,0.0,3.0
04/02/20,Kerala,0.0,0.0,3.0
05/02/20,Kerala,0.0,0.0,3.0
06/02/20,Kerala,0.0,0.0,3.0
07/02/20,Kerala,0.0,0.0,3.0
08/02/20,Kerala,0.0,0.0,3.0
09/02/20,Kerala,0.0,0.0,3.0
10/02/20,Kerala,0.0,0.0,3.0
11/02/20,Kerala,0.0,0.0,3.0
12/02/20,Kerala,0.0,0.0,3.0
13/02/20,Kerala,0.0,0.0,3.0
14/02/20,Kerala,0.0,0.0,3.0
15/02/20,Kerala,0.0,0.0,3.0
16/02/20,Kerala,0.0,0.0,3.0
17/02/20,Kerala,0.0,0.0,3.0
18/02/20,Kerala,0.0,0.0,3.0
19/02/20,Kerala,0.0,0.0,3.0
20/02/20,Kerala,0.0,0.0,3.0
21/02/20,Kerala,0.0,0.0,3.0
22/02/20,Kerala,0.0,0.0,3.0
23/02/20,Kerala,0.0,0.0,3.0
24/02/20,Kerala,0.0,0.0,3.0
25/02/20,Kerala,0.0,0.0,3.0
26/02/20,Kerala,0.0,0.0,3.0
27/02/20,Kerala,0.0,0.0,3.0
28/02/20,Kerala,0.0,0.0,3.0
29/02/20,Kerala,0.0,0.0,3.0
01/03/20,Kerala,0.0,0.0,3.0
02/03/20,Kerala,0.0,0.0,3.0
03/03/20,Kerala,3.0,0.0,3.0
04/03/20,Kerala,3.0,0.0,3.0
05/03/20,Kerala,3.0,0.0,3.0
06/03/20,Kerala,3.0,0.0,3.0
07/03/20,Kerala,3.0,0.0,3.0
08/03/20,Kerala,3.0,0.0,8.0
09/03/20,Kerala,3.0,0.0,9.0
10/03/20,Kerala,3.0,0.0,15.0
11/03/20,Kerala,3.0,0.0,17.0
12/03/20,Kerala,3.0,0.0,17.0
13/03/20,Kerala,3.0,0.0,19.0
14/03/20,Kerala,3.0,0.0,19.0
15/03/20,Kerala,3.0,0.0,22.0
16/03/20,Kerala,3.0,0.0,23.0
17/03/20,Kerala,3.0,0.0,26.0
18/03/20,Kerala,3.0,0.0,27.0
19/03/20,Kerala,3.0,0.0,27.0
20/03/20,Kerala,3.0,0.0,28.0
21/03/20,Kerala,3.0,0.0,40.0
22/03/20,Kerala,3.0,0.0,52.0
23/03/20,Kerala,3.0,0.0,67.0
24/03/20,Kerala,4.0,0.0,95.0
25/03/20,Kerala,4.0,0.0,109.0
26/03/20,Kerala,6.0,0.0,118.0
27/03/20,Kerala,11.0,0.0,137.0
28/03/20,Kerala,11.0,0.0,176.0
29/03/20,Kerala,15.0,1.0,182.0
30/03/20,Kerala,19.0,1.0,202.0
31/03/20,Kerala,19.0,1.0,234.0
01/04/20,Kerala,23.0,2.0,241.0
02/04/20,Kerala,25.0,2.0,265.0
03/04/20,Kerala,27.0,2.0,286.0
04/04/20,Kerala,41.0,2.0,295.0
05/04/20,Kerala,49.0,2.0,306.0
06/04/20,Kerala,55.0,2.0,314.0
07/04/20,Kerala,58.0,2.0,327.0
08/04/20,Kerala,70.0,2.0,336.0
09/04/20,Kerala,83.0,2.0,345.0
