Confirmed,Cured,Date,Deaths,State/UnionTerritory
0.0,0.0,30/01/20,0.0,Maharashtra
0.0,0.0,31/01/20,0.0,Maharashtra
0.0,0.0,01/02/20,0.0,Maharashtra
0.0,0.0,02/02/20,0.0,Maharashtra
0.0,0.0,03/02/20,0.0,Maharashtra
0.0,0.0,04/02/20,0.0,Maharashtra
0.0,0.0,05/02/20,0.0,Maharashtra
0.0,0.0,06/02/20,0.0,Maharashtra
0.0,0.0,07/02/20,0.0,Maharashtra
0.0,0.0,08/02/20,0.0,Maharashtra
0.0,0.0,09/02/20,0.0,Maharashtra
0.0,0.0,10/02/20,0.0,Maharashtra
0.0,0.0,11/02/20,0.0,Maharashtra
0.0,0.0,12/02/20,0.0,Maharashtra
0.0,0.0,13/02/20,0.0,Maharashtra
0.0,0.0,14/02/20,0.0,Maharashtra
0.0,0.0,15/02/20,0.0,Maharashtra
0.0,0.0,16/02/20,0.0,Maharashtra
0.0,0.0,17/02/20,0.0,Maharashtra
0.0,0.0,18/02/20,0.0,Maharashtra
0.0,0.0,19/02/20,0.0,Maharashtra
0.0,0.0,20/02/20,0.0,Maharashtra
0.0,0.0,21/02/20,0.0,Maharashtra
0.0,0.0,22/02/20,0.0,Maharashtra
0.0,0.0,23/02/20,0.0,Maharashtra
0.0,0.0,24/02/20,0.0,Maharashtra
0.0,0.0,25/02/20,0.0,Maharashtra
0.0,0.0,26/02/20,0.0,Maharashtra
0.0,0.0,27/02/20,0.0,Maharashtra
0.0,0.0,28/02/20,0.0,Maharashtra
0.0,0.0,29/02/20,0.0,Maharashtra
0.0,0.0,01/03/20,0.0,Maharashtra
0.0,0.0,02/03/20,0.0,Maharashtra
0.0,0.0,03/03/20,0.0,Maharashtra
0.0,0.0,04/03/20,0.0,Maharashtra
0.0,0.0,05/03/20,0.0,Maharashtra
0.0,0.0,06/03/20,0.0,Maharashtra
0.0,0.0,07/03/20,0.0,Maharashtra
0.0,0.0,08/03/20,0.0,Maharashtra
2.0,0.0,09/03/20,0.0,Maharashtra
5.0,0.0,10/03/20,0.0,Maharashtra
2.0,0.0,11/03/20,0.0,Maharashtra
11.0,0.0,12/03/20,0.0,Maharashtra
14.0,0.0,13/03/20,0.0,Maharashtra
14.0,0.0,14/03/20,0.0,Maharashtra
32.0,0.0,15/03/20,0.0,Maharashtra
32.0,0.0,16/03/20,0.0,Maharashtra
39.0,0.0,17/03/20,1.0,Maharashtra
42.0,0.0,18/03/20,1.0,Maharashtra
47.0,0.0,19/03/20,1.0,Maharashtra
52.0,0.0,20/03/20,1.0,Maharashtra
63.0,0.0,21/03/20,1.0,Maharashtra
67.0,0.0,22/03/20,2.0,Maharashtra
74.0,0.0,23/03/20,2.0,Maharashtra
89.0,0.0,24/03/20,2.0,Maharashtra
128.0,1.0,25/03/20,3.0,Maharashtra
124.0,1.0,26/03/20,3.0,Maharashtra
130.0,15.0,27/03/20,4.0,Maharashtra
180.0,25.0,28/03/20,5.0,Maharashtra
186.0,25.0,29/03/20,6.0,Maharashtra
198.0,25.0,30/03/20,8.0,Maharashtra
216.0,39.0,31/03/20,9.0,Maharashtra
302.0,39.0,01/04/20,9.0,Maharashtra
335.0,42.0,02/04/20,13.0,Maharashtra
335.0,42.0,03/04/20,16.0,Maharashtra
490.0,42.0,04/04/20,24.0,Maharashtra
490.0,42.0,05/04/20,24.0,Maharashtra
748.0,56.0,06/04/20,45.0,Maharashtra
868.0,56.0,07/04/20,48.0,Maharashtra
1018.0,79.0,08/04/20,64.0,Maharashtra
1135.0,117.0,09/04/20,72.0,Maharashtra
