Confirmed,Cured,Date,Deaths,State/UnionTerritory
0.0,0.0,30/01/20,0.0,Tamil Nadu
0.0,0.0,31/01/20,0.0,Tamil Nadu
0.0,0.0,01/02/20,0.0,Tamil Nadu
0.0,0.0,02/02/20,0.0,Tamil Nadu
0.0,0.0,03/02/20,0.0,Tamil Nadu
0.0,0.0,04/02/20,0.0,Tamil Nadu
0.0,0.0,05/02/20,0.0,Tamil Nadu
0.0,0.0,06/02/20,0.0,Tamil Nadu
0.0,0.0,07/02/20,0.0,Tamil Nadu
0.0,0.0,08/02/20,0.0,Tamil Nadu
0.0,0.0,09/02/20,0.0,Tamil Nadu
0.0,0.0,10/02/20,0.0,Tamil Nadu
0.0,0.0,11/02/20,0.0,Tamil Nadu
0.0,0.0,12/02/20,0.0,Tamil Nadu
0.0,0.0,13/02/20,0.0,Tamil Nadu
0.0,0.0,14/02/20,0.0,Tamil Nadu
0.0,0.0,15/02/20,0.0,Tamil Nadu
0.0,0.0,16/02/20,0.0,Tamil Nadu
0.0,0.0,17/02/20,0.0,Tamil Nadu
0.0,0.0,18/02/20,0.0,Tamil Nadu
0.0,0.0,19/02/20,0.0,Tamil Nadu
0.0,0.0,20/02/20,0.0,Tamil Nadu
0.0,0.0,21/02/20,0.0,Tamil Nadu
0.0,0.0,22/02/20,0.0,Tamil Nadu
0.0,0.0,23/02/20,0.0,Tamil Nadu
0.0,0.0,24/02/20,0.0,Tamil Nadu
0.0,0.0,25/02/20,0.0,Tamil Nadu
0.0,0.0,26/02/20,0.0,Tamil Nadu
0.0,0.0,27/02/20,0.0,Tamil Nadu
0.0,0.0,28/02/20,0.0,Tamil Nadu
0.0,0.0,29/02/20,0.0,Tamil Nadu
0.0,0.0,01/03/20,0.0,Tamil Nadu
0.0,0.0,02/03/20,0.0,Tamil Nadu
0.0,0.0,03/03/20,0.0,Tamil Nadu
0.0,0.0,04/03/20,0.0,Tamil Nadu
0.0,0.0,05/03/20,0.0,Tamil Nadu
0.0,0.0,06/03/20,0.0,Tamil Nadu
1.0,0.0,07/03/20,0.0,Tamil Nadu
1.0,0.0,08/03/20,0.0,Tamil Nadu
1.0,0.0,09/03/20,0.0,Tamil Nadu
1.0,0.0,10/03/20,0.0,Tamil Nadu
1.0,0.0,11/03/20,0.0,Tamil Nadu
1.0,0.0,12/03/20,0.0,Tamil Nadu
1.0,0.0,13/03/20,0.0,Tamil Nadu
1.0,0.0,14/03/20,0.0,Tamil Nadu
1.0,0.0,15/03/20,0.0,Tamil Nadu
1.0,0.0,16/03/20,0.0,Tamil Nadu
1.0,0.0,17/03/20,0.0,Tamil Nadu
1.0,0.0,18/03/20,0.0,Tamil Nadu
2.0,1.0,19/03/20,0.0,Tamil Nadu
3.0,1.0,20/03/20,0.0,Tamil Nadu
3.0,1.0,21/03/20,0.0,Tamil Nadu
7.0,1.0,22/03/20,0.0,Tamil Nadu
9.0,1.0,23/03/20,0.0,Tamil Nadu
15.0,1.0,24/03/20,0.0,Tamil Nadu
18.0,1.0,25/03/20,0.0,Tamil Nadu
26.0,1.0,26/03/20,1.0,Tamil Nadu
29.0,1.0,27/03/20,1.0,Tamil Nadu
40.0,2.0,28/03/20,1.0,Tamil Nadu
49.0,4.0,29/03/20,1.0,Tamil Nadu
67.0,4.0,30/03/20,1.0,Tamil Nadu
74.0,4.0,31/03/20,1.0,Tamil Nadu
234.0,6.0,01/04/20,1.0,Tamil Nadu
234.0,6.0,02/04/20,1.0,Tamil Nadu
309.0,6.0,03/04/20,1.0,Tamil Nadu
411.0,6.0,04/04/20,2.0,Tamil Nadu
485.0,6.0,05/04/20,3.0,Tamil Nadu
571.0,8.0,06/04/20,5.0,Tamil Nadu
621.0,8.0,07/04/20,5.0,Tamil Nadu
690.0,19.0,08/04/20,7.0,Tamil Nadu
738.0,21.0,09/04/20,8.0,Tamil Nadu
