Confirmed,Cured,Date,Deaths,State/UnionTerritory
0.0,0.0,30/01/20,0.0,Telengana
0.0,0.0,31/01/20,0.0,Telengana
0.0,0.0,01/02/20,0.0,Telengana
0.0,0.0,02/02/20,0.0,Telengana
0.0,0.0,03/02/20,0.0,Telengana
0.0,0.0,04/02/20,0.0,Telengana
0.0,0.0,05/02/20,0.0,Telengana
0.0,0.0,06/02/20,0.0,Telengana
0.0,0.0,07/02/20,0.0,Telengana
0.0,0.0,08/02/20,0.0,Telengana
0.0,0.0,09/02/20,0.0,Telengana
0.0,0.0,10/02/20,0.0,Telengana
0.0,0.0,11/02/20,0.0,Telengana
0.0,0.0,12/02/20,0.0,Telengana
0.0,0.0,13/02/20,0.0,Telengana
0.0,0.0,14/02/20,0.0,Telengana
0.0,0.0,15/02/20,0.0,Telengana
0.0,0.0,16/02/20,0.0,Telengana
0.0,0.0,17/02/20,0.0,Telengana
0.0,0.0,18/02/20,0.0,Telengana
0.0,0.0,19/02/20,0.0,Telengana
0.0,0.0,20/02/20,0.0,Telengana
0.0,0.0,21/02/20,0.0,Telengana
0.0,0.0,22/02/20,0.0,Telengana
0.0,0.0,23/02/20,0.0,Telengana
0.0,0.0,24/02/20,0.0,Telengana
0.0,0.0,25/02/20,0.0,Telengana
0.0,0.0,26/02/20,0.0,Telengana
0.0,0.0,27/02/20,0.0,Telengana
0.0,0.0,28/02/20,0.0,Telengana
0.0,0.0,29/02/20,0.0,Telengana
0.0,0.0,01/03/20,0.0,Telengana
1.0,0.0,02/03/20,0.0,Telengana
1.0,0.0,03/03/20,0.0,Telengana
1.0,0.0,04/03/20,0.0,Telengana
1.0,0.0,05/03/20,0.0,Telengana
1.0,0.0,06/03/20,0.0,Telengana
1.0,0.0,07/03/20,0.0,Telengana
1.0,0.0,08/03/20,0.0,Telengana
1.0,0.0,09/03/20,0.0,Telengana
1.0,0.0,10/03/20,0.0,Telengana
1.0,0.0,11/03/20,0.0,Telengana
1.0,0.0,12/03/20,0.0,Telengana
1.0,0.0,13/03/20,0.0,Telengana
1.0,0.0,14/03/20,0.0,Telengana
3.0,1.0,15/03/20,0.0,Telengana
3.0,1.0,16/03/20,0.0,Telengana
5.0,1.0,17/03/20,0.0,Telengana
6.0,1.0,18/03/20,0.0,Telengana
6.0,1.0,19/03/20,0.0,Telengana
17.0,1.0,20/03/20,0.0,Telengana
21.0,1.0,21/03/20,0.0,Telengana
22.0,1.0,22/03/20,0.0,Telengana
32.0,1.0,23/03/20,0.0,Telengana
35.0,1.0,24/03/20,0.0,Telengana
35.0,1.0,25/03/20,0.0,Telengana
44.0,1.0,26/03/20,0.0,Telengana
45.0,1.0,27/03/20,0.0,Telengana
56.0,1.0,28/03/20,0.0,Telengana
66.0,1.0,29/03/20,1.0,Telengana
71.0,1.0,30/03/20,1.0,Telengana
79.0,1.0,31/03/20,1.0,Telengana
96.0,1.0,01/04/20,3.0,Telengana
107.0,1.0,02/04/20,3.0,Telengana
158.0,1.0,03/04/20,7.0,Telengana
159.0,1.0,04/04/20,7.0,Telengana
269.0,32.0,05/04/20,7.0,Telengana
321.0,34.0,06/04/20,7.0,Telengana
364.0,35.0,07/04/20,7.0,Telengana
427.0,35.0,08/04/20,7.0,Telengana
442.0,35.0,09/04/20,7.0,Telengana
